sample_index,image_path,defect_type,label,image_score,image_h,image_w,mask_positive_pixels
48,data/mvtec_ad/bottle/test/contamination/006.png,contamination,1,0.026670468971133232,900,900,123943
54,data/mvtec_ad/bottle/test/contamination/012.png,contamination,1,0.02438405342400074,900,900,122608
58,data/mvtec_ad/bottle/test/contamination/016.png,contamination,1,0.023803751915693283,900,900,122515
47,data/mvtec_ad/bottle/test/contamination/005.png,contamination,1,0.023456526920199394,900,900,99554
49,data/mvtec_ad/bottle/test/contamination/007.png,contamination,1,0.023032020777463913,900,900,45048
62,data/mvtec_ad/bottle/test/contamination/020.png,contamination,1,0.02182813175022602,900,900,121385
59,data/mvtec_ad/bottle/test/contamination/017.png,contamination,1,0.021751578897237778,900,900,67541
38,data/mvtec_ad/bottle/test/broken_small/018.png,broken_small,1,0.021559089422225952,900,900,46314
60,data/mvtec_ad/bottle/test/contamination/018.png,contamination,1,0.021476641297340393,900,900,4663
37,data/mvtec_ad/bottle/test/broken_small/017.png,broken_small,1,0.021473092958331108,900,900,20384
32,data/mvtec_ad/bottle/test/broken_small/012.png,broken_small,1,0.021441616117954254,900,900,63191
4,data/mvtec_ad/bottle/test/broken_large/004.png,broken_large,1,0.02128436788916588,900,900,33132
53,data/mvtec_ad/bottle/test/contamination/011.png,contamination,1,0.021123206242918968,900,900,120781
23,data/mvtec_ad/bottle/test/broken_small/003.png,broken_small,1,0.020435284823179245,900,900,65292
24,data/mvtec_ad/bottle/test/broken_small/004.png,broken_small,1,0.020415998995304108,900,900,25926
14,data/mvtec_ad/bottle/test/broken_large/014.png,broken_large,1,0.020360492169857025,900,900,38206
16,data/mvtec_ad/bottle/test/broken_large/016.png,broken_large,1,0.020335208624601364,900,900,118913
17,data/mvtec_ad/bottle/test/broken_large/017.png,broken_large,1,0.020252497866749763,900,900,114063
3,data/mvtec_ad/bottle/test/broken_large/003.png,broken_large,1,0.020145533606410027,900,900,222091
40,data/mvtec_ad/bottle/test/broken_small/020.png,broken_small,1,0.02011299505829811,900,900,28333
77,data/mvtec_ad/bottle/test/good/014.png,good,0,0.019482435658574104,900,900,0
18,data/mvtec_ad/bottle/test/broken_large/018.png,broken_large,1,0.019419753924012184,900,900,106080
13,data/mvtec_ad/bottle/test/broken_large/013.png,broken_large,1,0.019406061619520187,900,900,109290
55,data/mvtec_ad/bottle/test/contamination/013.png,contamination,1,0.019395653158426285,900,900,41319
82,data/mvtec_ad/bottle/test/good/019.png,good,0,0.019286703318357468,900,900,0
22,data/mvtec_ad/bottle/test/broken_small/002.png,broken_small,1,0.019183646887540817,900,900,29456
26,data/mvtec_ad/bottle/test/broken_small/006.png,broken_small,1,0.019049402326345444,900,900,21797
8,data/mvtec_ad/bottle/test/broken_large/008.png,broken_large,1,0.01897973194718361,900,900,105614
52,data/mvtec_ad/bottle/test/contamination/010.png,contamination,1,0.018979500979185104,900,900,93231
65,data/mvtec_ad/bottle/test/good/002.png,good,0,0.018962997943162918,900,900,0
0,data/mvtec_ad/bottle/test/broken_large/000.png,broken_large,1,0.01880566030740738,900,900,88192
44,data/mvtec_ad/bottle/test/contamination/002.png,contamination,1,0.01874672994017601,900,900,14913
15,data/mvtec_ad/bottle/test/broken_large/015.png,broken_large,1,0.018649600446224213,900,900,75659
75,data/mvtec_ad/bottle/test/good/012.png,good,0,0.018598781898617744,900,900,0
21,data/mvtec_ad/bottle/test/broken_small/001.png,broken_small,1,0.01857646182179451,900,900,11966
30,data/mvtec_ad/bottle/test/broken_small/010.png,broken_small,1,0.018570296466350555,900,900,37177
76,data/mvtec_ad/bottle/test/good/013.png,good,0,0.018549377098679543,900,900,0
6,data/mvtec_ad/bottle/test/broken_large/006.png,broken_large,1,0.018534446135163307,900,900,123810
12,data/mvtec_ad/bottle/test/broken_large/012.png,broken_large,1,0.018510963767766953,900,900,70457
41,data/mvtec_ad/bottle/test/broken_small/021.png,broken_small,1,0.018457770347595215,900,900,14995
80,data/mvtec_ad/bottle/test/good/017.png,good,0,0.018450342118740082,900,900,0
46,data/mvtec_ad/bottle/test/contamination/004.png,contamination,1,0.018372055143117905,900,900,16790
70,data/mvtec_ad/bottle/test/good/007.png,good,0,0.01833469048142433,900,900,0
71,data/mvtec_ad/bottle/test/good/008.png,good,0,0.01830878295004368,900,900,0
19,data/mvtec_ad/bottle/test/broken_large/019.png,broken_large,1,0.018272098153829575,900,900,102217
79,data/mvtec_ad/bottle/test/good/016.png,good,0,0.018253780901432037,900,900,0
28,data/mvtec_ad/bottle/test/broken_small/008.png,broken_small,1,0.018099840730428696,900,900,17311
35,data/mvtec_ad/bottle/test/broken_small/015.png,broken_small,1,0.018071802332997322,900,900,13480
45,data/mvtec_ad/bottle/test/contamination/003.png,contamination,1,0.017935503274202347,900,900,21317
5,data/mvtec_ad/bottle/test/broken_large/005.png,broken_large,1,0.017744824290275574,900,900,33201
69,data/mvtec_ad/bottle/test/good/006.png,good,0,0.01774214580655098,900,900,0
2,data/mvtec_ad/bottle/test/broken_large/002.png,broken_large,1,0.017730483785271645,900,900,125835
74,data/mvtec_ad/bottle/test/good/011.png,good,0,0.017728056758642197,900,900,0
56,data/mvtec_ad/bottle/test/contamination/014.png,contamination,1,0.0176008902490139,900,900,5429
68,data/mvtec_ad/bottle/test/good/005.png,good,0,0.017580458894371986,900,900,0
7,data/mvtec_ad/bottle/test/broken_large/007.png,broken_large,1,0.01755857840180397,900,900,130952
73,data/mvtec_ad/bottle/test/good/010.png,good,0,0.01751459203660488,900,900,0
31,data/mvtec_ad/bottle/test/broken_small/011.png,broken_small,1,0.017485789954662323,900,900,15597
34,data/mvtec_ad/bottle/test/broken_small/014.png,broken_small,1,0.017386099323630333,900,900,14546
11,data/mvtec_ad/bottle/test/broken_large/011.png,broken_large,1,0.017298627644777298,900,900,60540
33,data/mvtec_ad/bottle/test/broken_small/013.png,broken_small,1,0.017259975895285606,900,900,26219
27,data/mvtec_ad/bottle/test/broken_small/007.png,broken_small,1,0.017253365367650986,900,900,17046
10,data/mvtec_ad/bottle/test/broken_large/010.png,broken_large,1,0.017180785536766052,900,900,90028
25,data/mvtec_ad/bottle/test/broken_small/005.png,broken_small,1,0.017115164548158646,900,900,12266
1,data/mvtec_ad/bottle/test/broken_large/001.png,broken_large,1,0.017081476747989655,900,900,76641
