sample_index,image_path,defect_type,label,image_score,image_h,image_w,mask_positive_pixels
83,data/mvtec_ad/metal_nut/test/good/013.png,good,0,0.024954412132501602,700,700,0
35,data/mvtec_ad/metal_nut/test/color/010.png,color,1,0.02401755563914776,700,700,16025
34,data/mvtec_ad/metal_nut/test/color/009.png,color,1,0.023904865607619286,700,700,8684
79,data/mvtec_ad/metal_nut/test/good/009.png,good,0,0.023820821195840836,700,700,0
82,data/mvtec_ad/metal_nut/test/good/012.png,good,0,0.02353169210255146,700,700,0
80,data/mvtec_ad/metal_nut/test/good/010.png,good,0,0.022814173251390457,700,700,0
77,data/mvtec_ad/metal_nut/test/good/007.png,good,0,0.022758247330784798,700,700,0
78,data/mvtec_ad/metal_nut/test/good/008.png,good,0,0.022725658491253853,700,700,0
84,data/mvtec_ad/metal_nut/test/good/014.png,good,0,0.02256835252046585,700,700,0
47,data/mvtec_ad/metal_nut/test/flip/000.png,flip,1,0.022548232227563858,700,700,237351
48,data/mvtec_ad/metal_nut/test/flip/001.png,flip,1,0.02254658192396164,700,700,238718
51,data/mvtec_ad/metal_nut/test/flip/004.png,flip,1,0.022508304566144943,700,700,234904
111,data/mvtec_ad/metal_nut/test/scratch/019.png,scratch,1,0.022461682558059692,700,700,27262
76,data/mvtec_ad/metal_nut/test/good/006.png,good,0,0.022438455373048782,700,700,0
61,data/mvtec_ad/metal_nut/test/flip/014.png,flip,1,0.022377116605639458,700,700,234692
5,data/mvtec_ad/metal_nut/test/bent/005.png,bent,1,0.02233465388417244,700,700,10851
81,data/mvtec_ad/metal_nut/test/good/011.png,good,0,0.022298311814665794,700,700,0
70,data/mvtec_ad/metal_nut/test/good/000.png,good,0,0.02228691801428795,700,700,0
54,data/mvtec_ad/metal_nut/test/flip/007.png,flip,1,0.022267747670412064,700,700,237959
14,data/mvtec_ad/metal_nut/test/bent/014.png,bent,1,0.022169973701238632,700,700,5223
42,data/mvtec_ad/metal_nut/test/color/017.png,color,1,0.022158589214086533,700,700,16277
56,data/mvtec_ad/metal_nut/test/flip/009.png,flip,1,0.021945882588624954,700,700,236366
99,data/mvtec_ad/metal_nut/test/scratch/007.png,scratch,1,0.02186093106865883,700,700,27302
7,data/mvtec_ad/metal_nut/test/bent/007.png,bent,1,0.021790921688079834,700,700,3458
0,data/mvtec_ad/metal_nut/test/bent/000.png,bent,1,0.021606577560305595,700,700,23025
57,data/mvtec_ad/metal_nut/test/flip/010.png,flip,1,0.02154475823044777,700,700,236323
62,data/mvtec_ad/metal_nut/test/flip/015.png,flip,1,0.021496104076504707,700,700,235892
19,data/mvtec_ad/metal_nut/test/bent/019.png,bent,1,0.021468766033649445,700,700,13930
3,data/mvtec_ad/metal_nut/test/bent/003.png,bent,1,0.02131074108183384,700,700,9132
