sample_index,image_path,defect_type,label,image_score,image_h,image_w,mask_positive_pixels
114,data/mvtec_ad/screw/test/thread_side/000.png,thread_side,1,0.014372577890753746,1024,1024,1580
78,data/mvtec_ad/screw/test/scratch_head/013.png,scratch_head,1,0.014250719919800758,1024,1024,1953
104,data/mvtec_ad/screw/test/scratch_neck/015.png,scratch_neck,1,0.013915250077843666,1024,1024,3017
14,data/mvtec_ad/screw/test/good/014.png,good,0,0.013761880807578564,1024,1024,0
22,data/mvtec_ad/screw/test/good/022.png,good,0,0.013741368427872658,1024,1024,0
83,data/mvtec_ad/screw/test/scratch_head/018.png,scratch_head,1,0.013647020794451237,1024,1024,3846
80,data/mvtec_ad/screw/test/scratch_head/015.png,scratch_head,1,0.013635250739753246,1024,1024,3545
35,data/mvtec_ad/screw/test/good/035.png,good,0,0.013603368774056435,1024,1024,0
102,data/mvtec_ad/screw/test/scratch_neck/013.png,scratch_neck,1,0.013566657900810242,1024,1024,3198
138,data/mvtec_ad/screw/test/thread_top/001.png,thread_top,1,0.013507090508937836,1024,1024,6387
4,data/mvtec_ad/screw/test/good/004.png,good,0,0.013463009148836136,1024,1024,0
125,data/mvtec_ad/screw/test/thread_side/011.png,thread_side,1,0.0134611576795578,1024,1024,1761
29,data/mvtec_ad/screw/test/good/029.png,good,0,0.013432350941002369,1024,1024,0
5,data/mvtec_ad/screw/test/good/005.png,good,0,0.013430831953883171,1024,1024,0
15,data/mvtec_ad/screw/test/good/015.png,good,0,0.0134048443287611,1024,1024,0
96,data/mvtec_ad/screw/test/scratch_neck/007.png,scratch_neck,1,0.013399926945567131,1024,1024,3062
74,data/mvtec_ad/screw/test/scratch_head/009.png,scratch_head,1,0.01339681539684534,1024,1024,3278
30,data/mvtec_ad/screw/test/good/030.png,good,0,0.01333301980048418,1024,1024,0
131,data/mvtec_ad/screw/test/thread_side/017.png,thread_side,1,0.013321585953235626,1024,1024,2901
73,data/mvtec_ad/screw/test/scratch_head/008.png,scratch_head,1,0.013282360509037971,1024,1024,3009
152,data/mvtec_ad/screw/test/thread_top/015.png,thread_top,1,0.013204004615545273,1024,1024,3769
70,data/mvtec_ad/screw/test/scratch_head/005.png,scratch_head,1,0.013170100748538971,1024,1024,1355
19,data/mvtec_ad/screw/test/good/019.png,good,0,0.013128232210874557,1024,1024,0
13,data/mvtec_ad/screw/test/good/013.png,good,0,0.013112783432006836,1024,1024,0
105,data/mvtec_ad/screw/test/scratch_neck/016.png,scratch_neck,1,0.01310892403125763,1024,1024,3955
7,data/mvtec_ad/screw/test/good/007.png,good,0,0.013105496764183044,1024,1024,0
49,data/mvtec_ad/screw/test/manipulated_front/008.png,manipulated_front,1,0.013090920634567738,1024,1024,3808
