sample_index,image_path,defect_type,label,image_score,image_h,image_w,mask_positive_pixels
97,data/mvtec_ad/transistor/test/misplaced/007.png,misplaced,1,0.030078472569584846,1024,1024,512572
98,data/mvtec_ad/transistor/test/misplaced/008.png,misplaced,1,0.029478125274181366,1024,1024,517163
99,data/mvtec_ad/transistor/test/misplaced/009.png,misplaced,1,0.025008756667375565,1024,1024,414647
95,data/mvtec_ad/transistor/test/misplaced/005.png,misplaced,1,0.02233751490712166,1024,1024,450193
55,data/mvtec_ad/transistor/test/good/025.png,good,0,0.020843183621764183,1024,1024,0
89,data/mvtec_ad/transistor/test/good/059.png,good,0,0.019613491371273994,1024,1024,0
94,data/mvtec_ad/transistor/test/misplaced/004.png,misplaced,1,0.019318148493766785,1024,1024,423908
87,data/mvtec_ad/transistor/test/good/057.png,good,0,0.019150510430336,1024,1024,0
71,data/mvtec_ad/transistor/test/good/041.png,good,0,0.01861213520169258,1024,1024,0
47,data/mvtec_ad/transistor/test/good/017.png,good,0,0.01849585585296154,1024,1024,0
56,data/mvtec_ad/transistor/test/good/026.png,good,0,0.018342040479183197,1024,1024,0
1,data/mvtec_ad/transistor/test/bent_lead/001.png,bent_lead,1,0.01824018359184265,1024,1024,2346
62,data/mvtec_ad/transistor/test/good/032.png,good,0,0.018208764493465424,1024,1024,0
31,data/mvtec_ad/transistor/test/good/001.png,good,0,0.018043622374534607,1024,1024,0
7,data/mvtec_ad/transistor/test/bent_lead/007.png,bent_lead,1,0.018025675788521767,1024,1024,33409
96,data/mvtec_ad/transistor/test/misplaced/006.png,misplaced,1,0.01792830601334572,1024,1024,424486
90,data/mvtec_ad/transistor/test/misplaced/000.png,misplaced,1,0.017717748880386353,1024,1024,423034
67,data/mvtec_ad/transistor/test/good/037.png,good,0,0.017693182453513145,1024,1024,0
51,data/mvtec_ad/transistor/test/good/021.png,good,0,0.01767924427986145,1024,1024,0
48,data/mvtec_ad/transistor/test/good/018.png,good,0,0.017669014632701874,1024,1024,0
50,data/mvtec_ad/transistor/test/good/020.png,good,0,0.017654025927186012,1024,1024,0
54,data/mvtec_ad/transistor/test/good/024.png,good,0,0.01759922318160534,1024,1024,0
84,data/mvtec_ad/transistor/test/good/054.png,good,0,0.017431413754820824,1024,1024,0
9,data/mvtec_ad/transistor/test/bent_lead/009.png,bent_lead,1,0.01741393841803074,1024,1024,9434
91,data/mvtec_ad/transistor/test/misplaced/001.png,misplaced,1,0.017367877066135406,1024,1024,428411
49,data/mvtec_ad/transistor/test/good/019.png,good,0,0.017352038994431496,1024,1024,0
83,data/mvtec_ad/transistor/test/good/053.png,good,0,0.017305707558989525,1024,1024,0
75,data/mvtec_ad/transistor/test/good/045.png,good,0,0.017110224813222885,1024,1024,0
63,data/mvtec_ad/transistor/test/good/033.png,good,0,0.017074795439839363,1024,1024,0
79,data/mvtec_ad/transistor/test/good/049.png,good,0,0.016940826550126076,1024,1024,0
6,data/mvtec_ad/transistor/test/bent_lead/006.png,bent_lead,1,0.01688092201948166,1024,1024,37531
88,data/mvtec_ad/transistor/test/good/058.png,good,0,0.0166803989559412,1024,1024,0
52,data/mvtec_ad/transistor/test/good/022.png,good,0,0.016628000885248184,1024,1024,0
8,data/mvtec_ad/transistor/test/bent_lead/008.png,bent_lead,1,0.016620222479104996,1024,1024,38241
81,data/mvtec_ad/transistor/test/good/051.png,good,0,0.01658038981258869,1024,1024,0
74,data/mvtec_ad/transistor/test/good/044.png,good,0,0.01644405722618103,1024,1024,0
70,data/mvtec_ad/transistor/test/good/040.png,good,0,0.016408046707510948,1024,1024,0
66,data/mvtec_ad/transistor/test/good/036.png,good,0,0.016403641551733017,1024,1024,0
85,data/mvtec_ad/transistor/test/good/055.png,good,0,0.016364894807338715,1024,1024,0
10,data/mvtec_ad/transistor/test/cut_lead/000.png,cut_lead,1,0.016308316960930824,1024,1024,11797
72,data/mvtec_ad/transistor/test/good/042.png,good,0,0.016270553693175316,1024,1024,0
0,data/mvtec_ad/transistor/test/bent_lead/000.png,bent_lead,1,0.016155540943145752,1024,1024,4485
29,data/mvtec_ad/transistor/test/damaged_case/009.png,damaged_case,1,0.016143739223480225,1024,1024,53178
16,data/mvtec_ad/transistor/test/cut_lead/006.png,cut_lead,1,0.01613016054034233,1024,1024,16077
58,data/mvtec_ad/transistor/test/good/028.png,good,0,0.016109757125377655,1024,1024,0
4,data/mvtec_ad/transistor/test/bent_lead/004.png,bent_lead,1,0.016104575246572495,1024,1024,4031
32,data/mvtec_ad/transistor/test/good/002.png,good,0,0.016070371493697166,1024,1024,0
28,data/mvtec_ad/transistor/test/damaged_case/008.png,damaged_case,1,0.016031039878726006,1024,1024,52956
53,data/mvtec_ad/transistor/test/good/023.png,good,0,0.015980247408151627,1024,1024,0
61,data/mvtec_ad/transistor/test/good/031.png,good,0,0.015953728929162025,1024,1024,0
21,data/mvtec_ad/transistor/test/damaged_case/001.png,damaged_case,1,0.01590222492814064,1024,1024,56114
82,data/mvtec_ad/transistor/test/good/052.png,good,0,0.015696963295340538,1024,1024,0
78,data/mvtec_ad/transistor/test/good/048.png,good,0,0.015693780034780502,1024,1024,0
13,data/mvtec_ad/transistor/test/cut_lead/003.png,cut_lead,1,0.015689637511968613,1024,1024,14952
17,data/mvtec_ad/transistor/test/cut_lead/007.png,cut_lead,1,0.015624754130840302,1024,1024,10691
65,data/mvtec_ad/transistor/test/good/035.png,good,0,0.015617980621755123,1024,1024,0
24,data/mvtec_ad/transistor/test/damaged_case/004.png,damaged_case,1,0.015390484593808651,1024,1024,26658
46,data/mvtec_ad/transistor/test/good/016.png,good,0,0.01534438505768776,1024,1024,0
23,data/mvtec_ad/transistor/test/damaged_case/003.png,damaged_case,1,0.015314018353819847,1024,1024,15628
60,data/mvtec_ad/transistor/test/good/030.png,good,0,0.015310289338231087,1024,1024,0
86,data/mvtec_ad/transistor/test/good/056.png,good,0,0.01529712788760662,1024,1024,0
27,data/mvtec_ad/transistor/test/damaged_case/007.png,damaged_case,1,0.015218895860016346,1024,1024,13540
73,data/mvtec_ad/transistor/test/good/043.png,good,0,0.015186810865998268,1024,1024,0
2,data/mvtec_ad/transistor/test/bent_lead/002.png,bent_lead,1,0.015139244496822357,1024,1024,11899
59,data/mvtec_ad/transistor/test/good/029.png,good,0,0.015121934935450554,1024,1024,0
5,data/mvtec_ad/transistor/test/bent_lead/005.png,bent_lead,1,0.015107553452253342,1024,1024,16698
36,data/mvtec_ad/transistor/test/good/006.png,good,0,0.015059331431984901,1024,1024,0
64,data/mvtec_ad/transistor/test/good/034.png,good,0,0.014984388835728168,1024,1024,0
12,data/mvtec_ad/transistor/test/cut_lead/002.png,cut_lead,1,0.014952588826417923,1024,1024,10883
