sample_index,image_path,defect_type,label,image_score,feature_score,ae_score,image_h,image_w,mask_positive_pixels,feature_weight,ae_weight
0,data/mvtec_ad/cable/test/bent_wire/000.png,bent_wire,1,0.9818324446678162,0.8851595520973206,0.030857160687446594,1024,1024,23162,0.5,0.5
2,data/mvtec_ad/cable/test/bent_wire/002.png,bent_wire,1,0.9806556105613708,0.855930507183075,0.029964983463287354,1024,1024,37083,0.5,0.5
4,data/mvtec_ad/cable/test/bent_wire/004.png,bent_wire,1,0.9608769416809082,1.0160189867019653,0.032183434814214706,1024,1024,32843,0.5,0.5
78,data/mvtec_ad/cable/test/good/018.png,good,0,0.9597615003585815,0.715911328792572,0.02828977257013321,1024,1024,0,0.5,0.5
11,data/mvtec_ad/cable/test/bent_wire/011.png,bent_wire,1,0.9591504335403442,0.9919593334197998,0.04012171924114227,1024,1024,119231,0.5,0.5
10,data/mvtec_ad/cable/test/bent_wire/010.png,bent_wire,1,0.9486733675003052,0.9653958678245544,0.03264593333005905,1024,1024,38102,0.5,0.5
1,data/mvtec_ad/cable/test/bent_wire/001.png,bent_wire,1,0.9464367628097534,0.9551673531532288,0.028337731957435608,1024,1024,15206,0.5,0.5
5,data/mvtec_ad/cable/test/bent_wire/005.png,bent_wire,1,0.9336292147636414,0.9734856486320496,0.034885477274656296,1024,1024,37738,0.5,0.5
12,data/mvtec_ad/cable/test/bent_wire/012.png,bent_wire,1,0.9243481159210205,0.9666325449943542,0.031767215579748154,1024,1024,72366,0.5,0.5
26,data/mvtec_ad/cable/test/combined/001.png,combined,1,0.9240318536758423,0.9453685283660889,0.027947967872023582,1024,1024,41285,0.5,0.5
64,data/mvtec_ad/cable/test/good/004.png,good,0,0.9205245971679688,0.7153432965278625,0.028455086052417755,1024,1024,0,0.5,0.5
37,data/mvtec_ad/cable/test/cut_inner_insulation/001.png,cut_inner_insulation,1,0.9169853925704956,0.9078540802001953,0.033089324831962585,1024,1024,30558,0.5,0.5
