sample_index,image_path,defect_type,label,image_score,image_h,image_w,mask_positive_pixels
48,data/mvtec_ad/bottle/test/contamination/006.png,contamination,1,0.0266704689711332,900,900,123943
54,data/mvtec_ad/bottle/test/contamination/012.png,contamination,1,0.0243840534240007,900,900,122608
58,data/mvtec_ad/bottle/test/contamination/016.png,contamination,1,0.0238037519156932,900,900,122515
47,data/mvtec_ad/bottle/test/contamination/005.png,contamination,1,0.0234565269201993,900,900,99554
49,data/mvtec_ad/bottle/test/contamination/007.png,contamination,1,0.0230320207774639,900,900,45048
62,data/mvtec_ad/bottle/test/contamination/020.png,contamination,1,0.021828131750226,900,900,121385
59,data/mvtec_ad/bottle/test/contamination/017.png,contamination,1,0.0217515788972377,900,900,67541
38,data/mvtec_ad/bottle/test/broken_small/018.png,broken_small,1,0.0215590894222259,900,900,46314
60,data/mvtec_ad/bottle/test/contamination/018.png,contamination,1,0.0214766412973403,900,900,4663
37,data/mvtec_ad/bottle/test/broken_small/017.png,broken_small,1,0.0214730929583311,900,900,20384
32,data/mvtec_ad/bottle/test/broken_small/012.png,broken_small,1,0.0214416161179542,900,900,63191
4,data/mvtec_ad/bottle/test/broken_large/004.png,broken_large,1,0.0212843678891658,900,900,33132
53,data/mvtec_ad/bottle/test/contamination/011.png,contamination,1,0.0211232062429189,900,900,120781
23,data/mvtec_ad/bottle/test/broken_small/003.png,broken_small,1,0.0204352848231792,900,900,65292
24,data/mvtec_ad/bottle/test/broken_small/004.png,broken_small,1,0.0204159989953041,900,900,25926
14,data/mvtec_ad/bottle/test/broken_large/014.png,broken_large,1,0.020360492169857,900,900,38206
16,data/mvtec_ad/bottle/test/broken_large/016.png,broken_large,1,0.0203352086246013,900,900,118913
17,data/mvtec_ad/bottle/test/broken_large/017.png,broken_large,1,0.0202524978667497,900,900,114063
3,data/mvtec_ad/bottle/test/broken_large/003.png,broken_large,1,0.02014553360641,900,900,222091
40,data/mvtec_ad/bottle/test/broken_small/020.png,broken_small,1,0.0201129950582981,900,900,28333
77,data/mvtec_ad/bottle/test/good/014.png,good,0,0.0194824356585741,900,900,0
18,data/mvtec_ad/bottle/test/broken_large/018.png,broken_large,1,0.0194197539240121,900,900,106080
13,data/mvtec_ad/bottle/test/broken_large/013.png,broken_large,1,0.0194060616195201,900,900,109290
55,data/mvtec_ad/bottle/test/contamination/013.png,contamination,1,0.0193956531584262,900,900,41319
82,data/mvtec_ad/bottle/test/good/019.png,good,0,0.0192867033183574,900,900,0
22,data/mvtec_ad/bottle/test/broken_small/002.png,broken_small,1,0.0191836468875408,900,900,29456
26,data/mvtec_ad/bottle/test/broken_small/006.png,broken_small,1,0.0190494023263454,900,900,21797
