sample_index,image_path,defect_type,label,image_score,image_h,image_w,mask_positive_pixels
54,data/mvtec_ad/capsule/test/good/009.png,good,0,0.0186111256480216,1000,1000,0
1,data/mvtec_ad/capsule/test/crack/001.png,crack,1,0.0178656391799449,1000,1000,23268
121,data/mvtec_ad/capsule/test/squeeze/009.png,squeeze,1,0.0164539627730846,1000,1000,48392
113,data/mvtec_ad/capsule/test/squeeze/001.png,squeeze,1,0.0164497587829828,1000,1000,50215
64,data/mvtec_ad/capsule/test/good/019.png,good,0,0.0161465015262365,1000,1000,0
49,data/mvtec_ad/capsule/test/good/004.png,good,0,0.0159594416618347,1000,1000,0
119,data/mvtec_ad/capsule/test/squeeze/007.png,squeeze,1,0.0158900711685419,1000,1000,66178
126,data/mvtec_ad/capsule/test/squeeze/014.png,squeeze,1,0.0157287381589412,1000,1000,80787
127,data/mvtec_ad/capsule/test/squeeze/015.png,squeeze,1,0.0156262908130884,1000,1000,23973
123,data/mvtec_ad/capsule/test/squeeze/011.png,squeeze,1,0.0150487534701824,1000,1000,61876
52,data/mvtec_ad/capsule/test/good/007.png,good,0,0.0146094094961881,1000,1000,0
114,data/mvtec_ad/capsule/test/squeeze/002.png,squeeze,1,0.0144858630374073,1000,1000,1881
112,data/mvtec_ad/capsule/test/squeeze/000.png,squeeze,1,0.0144442301243543,1000,1000,76945
53,data/mvtec_ad/capsule/test/good/008.png,good,0,0.0143026858568191,1000,1000,0
125,data/mvtec_ad/capsule/test/squeeze/013.png,squeeze,1,0.0142557024955749,1000,1000,21950
130,data/mvtec_ad/capsule/test/squeeze/018.png,squeeze,1,0.0142272412776947,1000,1000,11339
124,data/mvtec_ad/capsule/test/squeeze/012.png,squeeze,1,0.0139648513868451,1000,1000,64136
129,data/mvtec_ad/capsule/test/squeeze/017.png,squeeze,1,0.0138165829703211,1000,1000,5786
122,data/mvtec_ad/capsule/test/squeeze/010.png,squeeze,1,0.0137888509780168,1000,1000,11767
116,data/mvtec_ad/capsule/test/squeeze/004.png,squeeze,1,0.0135340727865695,1000,1000,5830
118,data/mvtec_ad/capsule/test/squeeze/006.png,squeeze,1,0.0135055594146251,1000,1000,70635
51,data/mvtec_ad/capsule/test/good/006.png,good,0,0.0134826591238379,1000,1000,0
120,data/mvtec_ad/capsule/test/squeeze/008.png,squeeze,1,0.0134341949597001,1000,1000,31191
92,data/mvtec_ad/capsule/test/scratch/003.png,scratch,1,0.0134000871330499,1000,1000,8001
117,data/mvtec_ad/capsule/test/squeeze/005.png,squeeze,1,0.0133902169764041,1000,1000,5820
10,data/mvtec_ad/capsule/test/crack/010.png,crack,1,0.0133865633979439,1000,1000,17974
47,data/mvtec_ad/capsule/test/good/002.png,good,0,0.0133166247978806,1000,1000,0
128,data/mvtec_ad/capsule/test/squeeze/016.png,squeeze,1,0.0132873440161347,1000,1000,80278
6,data/mvtec_ad/capsule/test/crack/006.png,crack,1,0.0132728228345513,1000,1000,5236
4,data/mvtec_ad/capsule/test/crack/004.png,crack,1,0.0131692700088024,1000,1000,3043
11,data/mvtec_ad/capsule/test/crack/011.png,crack,1,0.0131686218082904,1000,1000,5428
57,data/mvtec_ad/capsule/test/good/012.png,good,0,0.0130358962342143,1000,1000,0
2,data/mvtec_ad/capsule/test/crack/002.png,crack,1,0.012997418642044,1000,1000,2118
73,data/mvtec_ad/capsule/test/poke/005.png,poke,1,0.0129743367433547,1000,1000,997
68,data/mvtec_ad/capsule/test/poke/000.png,poke,1,0.0129671301692724,1000,1000,12289
98,data/mvtec_ad/capsule/test/scratch/009.png,scratch,1,0.0129486033692955,1000,1000,9587
66,data/mvtec_ad/capsule/test/good/021.png,good,0,0.0129109360277652,1000,1000,0
9,data/mvtec_ad/capsule/test/crack/009.png,crack,1,0.0129054272547364,1000,1000,5359
