detector_name,category,recommended_method,recommended_threshold,best_f1_threshold,best_f1,best_youden_threshold,normal_p95_0,normal_p97_5,normal_p99_0,normal_p99_5
feature,bottle,normal_p99_0,0.5959405899047852,0.5960012078285217,0.9921259842519685,0.6719725131988525,0.5956980586051941,0.5958496332168579,0.5959405899047852,0.595970869064331
feature,transistor,normal_p99_0,0.7950738668441772,0.7625449299812317,0.9135802469135802,0.7627695798873901,0.7628129124641418,0.7810246348381042,0.7950738668441772,0.7966413497924805
feature,cable,normal_p99_0,0.7883915305137634,0.7588914036750793,0.9513513513513514,0.7598668336868286,0.7692056894302368,0.7776674032211304,0.7883915305137634,0.7949760556221008
feature,capsule,normal_p99_0,0.6347275972366333,0.5270466208457947,0.9506726457399103,0.552192747592926,0.631140410900116,0.6334953904151917,0.6347275972366333,0.6351382732391357
feature,screw,normal_p99_0,0.7200697660446167,0.6075683832168579,0.9083333333333333,0.610484778881073,0.6468230485916138,0.6817309260368347,0.7200697660446167,0.7328494191169739
feature,metal_nut,normal_p99_0,0.7409592866897583,0.7450408935546875,0.9946524064171123,0.7499187588691711,0.7255026698112488,0.7348368167877197,0.7409592866897583,0.7430000901222229
ae,bottle,normal_p99_0,0.01944524608552456,0.015917619690299034,0.881118881118881,0.018979500979185104,0.019296489655971527,0.01938946358859539,0.01944524608552456,0.01946384087204933
ae,transistor,normal_p99_0,0.020117664709687233,0.01175331324338913,0.5714285714285715,0.02233751490712166,0.018639054149389267,0.019393576309084892,0.020117664709687233,0.020480426028370857
ae,cable,normal_p99_0,0.03504176810383797,0.02396334335207939,0.7603305785123966,0.031131207942962646,0.03424341604113579,0.03476022556424141,0.03504176810383797,0.03507903963327408
ae,capsule,normal_p99_0,0.018068909645080566,0.010991307906806469,0.9045643153526972,0.011382585391402245,0.016127794981002808,0.01725558377802372,0.018068909645080566,0.018340015783905983
ae,screw,normal_p99_0,0.013753675855696201,0.011033248156309128,0.8530465949820789,0.013915250077843666,0.013603368774056435,0.013741368427872658,0.013753675855696201,0.013757778331637383
ae,metal_nut,normal_p99_0,0.02471635863184929,0.017792075872421265,0.8942307692307693,0.01868458464741707,0.023806365206837654,0.02435927651822567,0.02471635863184929,0.024835385382175446
hybrid,bottle,normal_p99_0,0.9462053775787354,0.6907315850257874,0.8630136986301369,0.8978527188301086,0.9201130270957947,0.9364207983016968,0.9462053775787354,0.9494670033454895
hybrid,transistor,normal_p99_0,0.9438443779945374,0.7011042237281799,0.5714285714285715,0.9337301850318909,0.9326600432395935,0.9370085000991821,0.9438443779945374,0.9484640955924988
hybrid,cable,normal_p99_0,0.9373964667320251,0.659049391746521,0.7603305785123966,0.8880137205123901,0.9001290202140808,0.917084276676178,0.9373964667320251,0.9485790133476257
hybrid,capsule,normal_p99_0,0.9230469465255737,0.575722336769104,0.9121338912133891,0.8472540378570557,0.845325231552124,0.8905454874038696,0.9230469465255737,0.933880627155304
hybrid,screw,normal_p99_0,0.9246660470962524,0.7250956296920776,0.8489208633093526,0.8934535980224609,0.9202906489372253,0.9222731590270996,0.9246660470962524,0.9254636764526367
hybrid,metal_nut,normal_p99_0,0.9413636922836304,0.6816884279251099,0.8942307692307693,0.9294077157974243,0.925922691822052,0.9356728792190552,0.9413636922836304,0.9432606101036072
