detector_name,category,threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
ae,bottle,0.0189953688532114,0.5180722891566265,0.925925925925926,0.3968253968253968,0.9,0.5555555555555555,25,18,2,38,normal_p90_0
ae,bottle,0.0192964896559715,0.5060240963855421,0.9583333333333334,0.365079365079365,0.95,0.5287356321839081,23,19,1,40,normal_p95_0
ae,bottle,0.0193894635885953,0.5060240963855421,0.9583333333333334,0.365079365079365,0.95,0.5287356321839081,23,19,1,40,normal_p97_5
ae,bottle,0.0194452460855245,0.4698795180722891,0.9523809523809524,0.3174603174603174,0.95,0.4761904761904761,20,19,1,43,normal_p99_0
ae,bottle,0.0194638408720493,0.4698795180722891,0.9523809523809524,0.3174603174603174,0.95,0.4761904761904761,20,19,1,43,normal_p99_5
ae,cable,0.0333110354840755,0.4866666666666667,0.7777777777777778,0.2282608695652173,0.896551724137931,0.3529411764705882,21,52,6,71,normal_p90_0
ae,cable,0.0342434160411357,0.46,0.8235294117647058,0.1521739130434782,0.9482758620689656,0.2568807339449541,14,55,3,78,normal_p95_0
ae,cable,0.0347602255642414,0.4533333333333333,0.8571428571428571,0.1304347826086956,0.9655172413793104,0.2264150943396226,12,56,2,80,normal_p97_5
ae,cable,0.0350417681038379,0.44,0.9,0.0978260869565217,0.9827586206896552,0.1764705882352941,9,57,1,83,normal_p99_0
ae,cable,0.035079039633274,0.4333333333333333,0.8888888888888888,0.0869565217391304,0.9827586206896552,0.1584158415841584,8,57,1,84,normal_p99_5
ae,capsule,0.0156894344836473,0.1893939393939394,0.625,0.0458715596330275,0.8695652173913043,0.0854700854700854,5,20,3,104,normal_p90_0
ae,capsule,0.0161277949810028,0.1818181818181818,0.6,0.0275229357798165,0.9130434782608696,0.0526315789473684,3,21,2,106,normal_p95_0
ae,capsule,0.0172555837780237,0.1742424242424242,0.5,0.0091743119266055,0.9565217391304348,0.018018018018018,1,22,1,108,normal_p97_5
ae,capsule,0.0180689096450805,0.1666666666666666,0.0,0.0,0.9565217391304348,0.0,0,22,1,109,normal_p99_0
ae,capsule,0.0183400157839059,0.1666666666666666,0.0,0.0,0.9565217391304348,0.0,0,22,1,109,normal_p99_5
ae,metal_nut,0.0234599392861127,0.1826086956521739,0.4,0.021505376344086,0.8636363636363636,0.0408163265306122,2,19,3,91,normal_p90_0
ae,metal_nut,0.0238063652068376,0.1913043478260869,0.5,0.021505376344086,0.9090909090909092,0.0412371134020618,2,20,2,91,normal_p95_0
ae,metal_nut,0.0243592765182256,0.1826086956521739,0.0,0.0,0.9545454545454546,0.0,0,21,1,93,normal_p97_5
ae,metal_nut,0.0247163586318492,0.1826086956521739,0.0,0.0,0.9545454545454546,0.0,0,21,1,93,normal_p99_0
ae,metal_nut,0.0248353853821754,0.1826086956521739,0.0,0.0,0.9545454545454546,0.0,0,21,1,93,normal_p99_5
ae,screw,0.0134323509410023,0.275,0.6153846153846154,0.0672268907563025,0.8780487804878049,0.1212121212121212,8,36,5,111,normal_p90_0
ae,screw,0.0136033687740564,0.26875,0.625,0.042016806722689,0.926829268292683,0.0787401574803149,5,38,3,114,normal_p95_0
ae,screw,0.0137413684278726,0.2625,0.6,0.0252100840336134,0.951219512195122,0.0483870967741935,3,39,2,116,normal_p97_5
ae,screw,0.0137536758556962,0.26875,0.75,0.0252100840336134,0.975609756097561,0.048780487804878,3,40,1,116,normal_p99_0
ae,screw,0.0137577783316373,0.26875,0.75,0.0252100840336134,0.975609756097561,0.048780487804878,3,40,1,116,normal_p99_5
ae,transistor,0.0182220917195081,0.6,0.5,0.15,0.9,0.2307692307692307,6,54,6,34,normal_p90_0
ae,transistor,0.0186390541493892,0.62,0.625,0.125,0.95,0.2083333333333333,5,57,3,35,normal_p95_0
ae,transistor,0.0193935763090848,0.62,0.6666666666666666,0.1,0.9666666666666668,0.1739130434782609,4,58,2,36,normal_p97_5
ae,transistor,0.0201176647096872,0.63,0.8,0.1,0.9833333333333332,0.1777777777777778,4,59,1,36,normal_p99_0
ae,transistor,0.0204804260283708,0.63,0.8,0.1,0.9833333333333332,0.1777777777777778,4,59,1,36,normal_p99_5
