detector_name,category,threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
feature,bottle,0.5851695537567139,0.9759036144578314,0.9692307692307692,1.0,0.9,0.984375,63,18,2,0,normal_p90_0
feature,bottle,0.5956980586051941,0.9879518072289156,0.984375,1.0,0.95,0.9921259842519684,63,19,1,0,normal_p95_0
feature,bottle,0.5958496332168579,0.9879518072289156,0.984375,1.0,0.95,0.9921259842519684,63,19,1,0,normal_p97_5
feature,bottle,0.5959405899047852,0.9879518072289156,0.984375,1.0,0.95,0.9921259842519684,63,19,1,0,normal_p99_0
feature,bottle,0.595970869064331,0.9879518072289156,0.984375,1.0,0.95,0.9921259842519684,63,19,1,0,normal_p99_5
feature,cable,0.7584569454193115,0.9333333333333332,0.9361702127659576,0.9565217391304348,0.896551724137931,0.9462365591397848,88,52,6,4,normal_p90_0
feature,cable,0.7692056894302368,0.9333333333333332,0.9659090909090908,0.9239130434782608,0.9482758620689656,0.9444444444444444,85,55,3,7,normal_p95_0
feature,cable,0.7776674032211304,0.9333333333333332,0.9767441860465116,0.9130434782608696,0.9655172413793104,0.9438202247191012,84,56,2,8,normal_p97_5
feature,cable,0.7883915305137634,0.92,0.9878048780487804,0.8804347826086957,0.9827586206896552,0.9310344827586208,81,57,1,11,normal_p99_0
feature,cable,0.7949760556221008,0.9066666666666666,0.9875,0.8586956521739131,0.9827586206896552,0.9186046511627908,79,57,1,13,normal_p99_5
feature,capsule,0.61445552110672,0.7348484848484849,0.9625,0.7064220183486238,0.8695652173913043,0.8148148148148149,77,20,3,32,normal_p90_0
feature,capsule,0.631140410900116,0.6818181818181818,0.971830985915493,0.6330275229357798,0.9130434782608696,0.7666666666666667,69,21,2,40,normal_p95_0
feature,capsule,0.6334953904151917,0.6893939393939394,0.9857142857142858,0.6330275229357798,0.9565217391304348,0.770949720670391,69,22,1,40,normal_p97_5
feature,capsule,0.6347275972366333,0.6893939393939394,0.9857142857142858,0.6330275229357798,0.9565217391304348,0.770949720670391,69,22,1,40,normal_p99_0
feature,capsule,0.6351382732391357,0.6893939393939394,0.9857142857142858,0.6330275229357798,0.9565217391304348,0.770949720670391,69,22,1,40,normal_p99_5
feature,metal_nut,0.7231535911560059,0.9739130434782608,0.96875,1.0,0.8636363636363636,0.984126984126984,93,19,3,0,normal_p90_0
feature,metal_nut,0.7255026698112488,0.982608695652174,0.9789473684210528,1.0,0.9090909090909092,0.9893617021276596,93,20,2,0,normal_p95_0
feature,metal_nut,0.7348368167877197,0.991304347826087,0.9893617021276596,1.0,0.9545454545454546,0.9946524064171124,93,21,1,0,normal_p97_5
feature,metal_nut,0.7409592866897583,0.991304347826087,0.9893617021276596,1.0,0.9545454545454546,0.9946524064171124,93,21,1,0,normal_p99_0
feature,metal_nut,0.7430000901222229,0.991304347826087,0.9893617021276596,1.0,0.9545454545454546,0.9946524064171124,93,21,1,0,normal_p99_5
feature,screw,0.6377130150794983,0.7625,0.945054945054945,0.7226890756302521,0.8780487804878049,0.8190476190476191,86,36,5,33,normal_p90_0
feature,screw,0.6468230485916138,0.7375,0.963855421686747,0.6722689075630253,0.926829268292683,0.7920792079207921,80,38,3,39,normal_p95_0
feature,screw,0.6817309260368347,0.55,0.9607843137254902,0.4117647058823529,0.951219512195122,0.5764705882352941,49,39,2,70,normal_p97_5
feature,screw,0.7200697660446167,0.39375,0.9583333333333334,0.1932773109243697,0.975609756097561,0.3216783216783216,23,40,1,96,normal_p99_0
feature,screw,0.7328494191169739,0.375,0.9523809523809524,0.1680672268907563,0.975609756097561,0.2857142857142857,20,40,1,99,normal_p99_5
feature,transistor,0.7409485578536987,0.92,0.8636363636363636,0.95,0.9,0.9047619047619048,38,54,6,2,normal_p90_0
feature,transistor,0.7628129124641418,0.93,0.9230769230769232,0.9,0.95,0.9113924050632912,36,57,3,4,normal_p95_0
feature,transistor,0.7810246348381042,0.91,0.9428571428571428,0.825,0.9666666666666668,0.88,33,58,2,7,normal_p97_5
feature,transistor,0.7950738668441772,0.88,0.9666666666666668,0.725,0.9833333333333332,0.8285714285714285,29,59,1,11,normal_p99_0
feature,transistor,0.7966413497924805,0.87,0.9655172413793104,0.7,0.9833333333333332,0.8115942028985508,28,59,1,12,normal_p99_5
