detector_name,category,threshold,accuracy,precision,recall,specificity,f1,tp,tn,fp,fn,selection_method
hybrid,bottle,0.8985702395439148,0.7590361445783133,0.9574468085106383,0.7142857142857143,0.9,0.8181818181818182,45,18,2,18,normal_p90_0
hybrid,bottle,0.9201130270957948,0.7108433734939759,0.975609756097561,0.6349206349206349,0.95,0.7692307692307692,40,19,1,23,normal_p95_0
hybrid,bottle,0.9364207983016968,0.6265060240963856,0.9705882352941176,0.5238095238095238,0.95,0.6804123711340205,33,19,1,30,normal_p97_5
hybrid,bottle,0.9462053775787354,0.6024096385542169,0.96875,0.492063492063492,0.95,0.6526315789473683,31,19,1,32,normal_p99_0
hybrid,bottle,0.9494670033454896,0.5783132530120482,0.9666666666666668,0.4603174603174603,0.95,0.6236559139784946,29,19,1,34,normal_p99_5
hybrid,cable,0.8832919597625732,0.4666666666666667,0.75,0.1956521739130435,0.896551724137931,0.3103448275862069,18,52,6,74,normal_p90_0
hybrid,cable,0.9001290202140808,0.46,0.8235294117647058,0.1521739130434782,0.9482758620689656,0.2568807339449541,14,55,3,78,normal_p95_0
hybrid,cable,0.917084276676178,0.4333333333333333,0.8181818181818182,0.0978260869565217,0.9655172413793104,0.174757281553398,9,56,2,83,normal_p97_5
hybrid,cable,0.9373964667320251,0.42,0.8571428571428571,0.0652173913043478,0.9827586206896552,0.1212121212121212,6,57,1,86,normal_p99_0
hybrid,cable,0.9485790133476256,0.4133333333333333,0.8333333333333334,0.0543478260869565,0.9827586206896552,0.1020408163265306,5,57,1,87,normal_p99_5
hybrid,capsule,0.8360792398452759,0.4621212121212121,0.9318181818181818,0.3761467889908257,0.8695652173913043,0.5359477124183006,41,20,3,68,normal_p90_0
hybrid,capsule,0.845325231552124,0.4621212121212121,0.9523809523809524,0.3669724770642202,0.9130434782608696,0.5298013245033113,40,21,2,69,normal_p95_0
hybrid,capsule,0.8905454874038696,0.4166666666666667,0.9705882352941176,0.3027522935779816,0.9565217391304348,0.4615384615384615,33,22,1,76,normal_p97_5
hybrid,capsule,0.9230469465255736,0.3636363636363636,0.9629629629629628,0.2385321100917431,0.9565217391304348,0.3823529411764706,26,22,1,83,normal_p99_0
hybrid,capsule,0.933880627155304,0.3560606060606061,0.9615384615384616,0.2293577981651376,0.9565217391304348,0.3703703703703703,25,22,1,84,normal_p99_5
hybrid,metal_nut,0.90320086479187,0.391304347826087,0.896551724137931,0.2795698924731182,0.8636363636363636,0.4262295081967213,26,19,3,67,normal_p90_0
hybrid,metal_nut,0.925922691822052,0.3739130434782609,0.92,0.2473118279569892,0.9090909090909092,0.3898305084745762,23,20,2,70,normal_p95_0
hybrid,metal_nut,0.9356728792190552,0.3304347826086956,0.9444444444444444,0.1827956989247312,0.9545454545454546,0.3063063063063063,17,21,1,76,normal_p97_5
hybrid,metal_nut,0.9413636922836304,0.3043478260869565,0.9333333333333332,0.1505376344086021,0.9545454545454546,0.2592592592592592,14,21,1,79,normal_p99_0
hybrid,metal_nut,0.9432606101036072,0.3043478260869565,0.9333333333333332,0.1505376344086021,0.9545454545454546,0.2592592592592592,14,21,1,79,normal_p99_5
hybrid,screw,0.8928991556167603,0.43125,0.868421052631579,0.2773109243697479,0.8780487804878049,0.4203821656050955,33,36,5,86,normal_p90_0
hybrid,screw,0.9202906489372252,0.33125,0.8333333333333334,0.1260504201680672,0.926829268292683,0.218978102189781,15,38,3,104,normal_p95_0
hybrid,screw,0.9222731590270996,0.31875,0.8571428571428571,0.1008403361344537,0.951219512195122,0.1804511278195488,12,39,2,107,normal_p97_5
hybrid,screw,0.9246660470962524,0.325,0.9230769230769232,0.1008403361344537,0.975609756097561,0.1818181818181818,12,40,1,107,normal_p99_0
hybrid,screw,0.9254636764526368,0.325,0.9230769230769232,0.1008403361344537,0.975609756097561,0.1818181818181818,12,40,1,107,normal_p99_5
hybrid,transistor,0.928000807762146,0.62,0.5714285714285714,0.2,0.9,0.2962962962962963,8,54,6,32,normal_p90_0
hybrid,transistor,0.9326600432395936,0.65,0.7272727272727273,0.2,0.95,0.3137254901960785,8,57,3,32,normal_p95_0
hybrid,transistor,0.937008500099182,0.64,0.75,0.15,0.9666666666666668,0.2499999999999999,6,58,2,34,normal_p97_5
hybrid,transistor,0.9438443779945374,0.63,0.8,0.1,0.9833333333333332,0.1777777777777778,4,59,1,36,normal_p99_0
hybrid,transistor,0.9484640955924988,0.61,0.6666666666666666,0.05,0.9833333333333332,0.0930232558139534,2,59,1,38,normal_p99_5
