sample_index,image_path,defect_type,label,image_score,patch_grid_h,patch_grid_w,image_h,image_w,mask_positive_pixels
33,data/mvtec_ad/cable/test/combined/008.png,combined,1,1.0261050462722778,32,32,1024,1024,48510
4,data/mvtec_ad/cable/test/bent_wire/004.png,bent_wire,1,1.016018986701965,32,32,1024,1024,32843
11,data/mvtec_ad/cable/test/bent_wire/011.png,bent_wire,1,0.9919593334197998,32,32,1024,1024,119231
9,data/mvtec_ad/cable/test/bent_wire/009.png,bent_wire,1,0.9784990549087524,32,32,1024,1024,38202
5,data/mvtec_ad/cable/test/bent_wire/005.png,bent_wire,1,0.9734856486320496,32,32,1024,1024,37738
124,data/mvtec_ad/cable/test/missing_cable/006.png,missing_cable,1,0.9698530435562134,32,32,1024,1024,236776
12,data/mvtec_ad/cable/test/bent_wire/012.png,bent_wire,1,0.9666325449943542,32,32,1024,1024,72366
10,data/mvtec_ad/cable/test/bent_wire/010.png,bent_wire,1,0.9653958678245544,32,32,1024,1024,38102
25,data/mvtec_ad/cable/test/combined/000.png,combined,1,0.9556090235710144,32,32,1024,1024,42321
1,data/mvtec_ad/cable/test/bent_wire/001.png,bent_wire,1,0.9551673531532288,32,32,1024,1024,15206
125,data/mvtec_ad/cable/test/missing_cable/007.png,missing_cable,1,0.9457645416259766,32,32,1024,1024,158927
26,data/mvtec_ad/cable/test/combined/001.png,combined,1,0.9453685283660888,32,32,1024,1024,41285
7,data/mvtec_ad/cable/test/bent_wire/007.png,bent_wire,1,0.9434252977371216,32,32,1024,1024,38552
40,data/mvtec_ad/cable/test/cut_inner_insulation/004.png,cut_inner_insulation,1,0.9349467754364014,32,32,1024,1024,44383
148,data/mvtec_ad/cable/test/poke_insulation/008.png,poke_insulation,1,0.9345663785934448,32,32,1024,1024,41654
127,data/mvtec_ad/cable/test/missing_cable/009.png,missing_cable,1,0.9323669672012328,32,32,1024,1024,151277
3,data/mvtec_ad/cable/test/bent_wire/003.png,bent_wire,1,0.9291898012161256,32,32,1024,1024,12881
51,data/mvtec_ad/cable/test/cut_outer_insulation/001.png,cut_outer_insulation,1,0.9290958642959596,32,32,1024,1024,7513
50,data/mvtec_ad/cable/test/cut_outer_insulation/000.png,cut_outer_insulation,1,0.9272869229316713,32,32,1024,1024,23454
