sample_index,image_path,defect_type,label,image_score,feature_score,ae_score,image_h,image_w,mask_positive_pixels,feature_weight,ae_weight
6,data/mvtec_ad/capsule/test/crack/006.png,crack,1,0.9931880235671996,0.7412310838699341,0.0132728228345513,1000,1000,5236,0.5,0.5
68,data/mvtec_ad/capsule/test/poke/000.png,poke,1,0.9928644895553588,0.8504977226257324,0.0129671301692724,1000,1000,12289,0.5,0.5
82,data/mvtec_ad/capsule/test/poke/014.png,poke,1,0.9923884868621826,0.8266385793685913,0.0117518864572048,1000,1000,3589,0.5,0.5
79,data/mvtec_ad/capsule/test/poke/011.png,poke,1,0.9881315231323242,0.7470062971115112,0.0114546027034521,1000,1000,2714,0.5,0.5
15,data/mvtec_ad/capsule/test/crack/015.png,crack,1,0.9873548746109008,0.947009801864624,0.0123082548379898,1000,1000,11638,0.5,0.5
84,data/mvtec_ad/capsule/test/poke/016.png,poke,1,0.9857796430587769,0.7087149024009705,0.0113825853914022,1000,1000,1318,0.5,0.5
14,data/mvtec_ad/capsule/test/crack/014.png,crack,1,0.9823914170265198,0.8549891710281372,0.0123370578512549,1000,1000,991,0.5,0.5
4,data/mvtec_ad/capsule/test/crack/004.png,crack,1,0.9807395935058594,0.950867235660553,0.0131692700088024,1000,1000,3043,0.5,0.5
72,data/mvtec_ad/capsule/test/poke/004.png,poke,1,0.9785068035125732,0.6002064347267151,0.0120729599148035,1000,1000,5226,0.5,0.5
69,data/mvtec_ad/capsule/test/poke/001.png,poke,1,0.978402316570282,0.7020508646965027,0.0116722537204623,1000,1000,1926,0.5,0.5
10,data/mvtec_ad/capsule/test/crack/010.png,crack,1,0.9778953790664672,0.9188858270645142,0.0133865633979439,1000,1000,17974,0.5,0.5
17,data/mvtec_ad/capsule/test/crack/017.png,crack,1,0.9729012250900269,0.9405460953712464,0.0125657469034194,1000,1000,4812,0.5,0.5
77,data/mvtec_ad/capsule/test/poke/009.png,poke,1,0.9726934432983398,0.627402126789093,0.0116524305194616,1000,1000,2253,0.5,0.5
116,data/mvtec_ad/capsule/test/squeeze/004.png,squeeze,1,0.97264963388443,0.7127849459648132,0.0135340727865695,1000,1000,5830,0.5,0.5
129,data/mvtec_ad/capsule/test/squeeze/017.png,squeeze,1,0.9689712524414062,0.8496161699295044,0.0138165829703211,1000,1000,5786,0.5,0.5
7,data/mvtec_ad/capsule/test/crack/007.png,crack,1,0.9609169363975524,0.7714421153068542,0.0120904883369803,1000,1000,4835,0.5,0.5
81,data/mvtec_ad/capsule/test/poke/013.png,poke,1,0.9566689729690552,0.8398423194885254,0.0114023387432098,1000,1000,2479,0.5,0.5
1,data/mvtec_ad/capsule/test/crack/001.png,crack,1,0.955211877822876,0.9749447107315063,0.0178656391799449,1000,1000,23268,0.5,0.5
44,data/mvtec_ad/capsule/test/faulty_imprint/021.png,faulty_imprint,1,0.9537436962127686,0.6659030914306641,0.0110490228980779,1000,1000,3213,0.5,0.5
