sample_index,image_path,defect_type,label,image_score,feature_score,ae_score,image_h,image_w,mask_positive_pixels,feature_weight,ae_weight
55,data/mvtec_ad/metal_nut/test/flip/008.png,flip,1,0.9831131100654602,0.8487622737884521,0.0207383185625076,700,700,234449,0.5,0.5
47,data/mvtec_ad/metal_nut/test/flip/000.png,flip,1,0.9820514917373656,0.8836857676506042,0.0225482322275638,700,700,237351,0.5,0.5
51,data/mvtec_ad/metal_nut/test/flip/004.png,flip,1,0.9785500764846802,0.9071984887123108,0.0225083045661449,700,700,234904,0.5,0.5
48,data/mvtec_ad/metal_nut/test/flip/001.png,flip,1,0.9775998592376708,0.8987334370613098,0.0225465819239616,700,700,238718,0.5,0.5
18,data/mvtec_ad/metal_nut/test/bent/018.png,bent,1,0.9750653505325316,0.8593938946723938,0.0205513387918472,700,700,11889,0.5,0.5
67,data/mvtec_ad/metal_nut/test/flip/020.png,flip,1,0.9681202173233032,0.9097625017166138,0.019350154325366,700,700,236216,0.5,0.5
20,data/mvtec_ad/metal_nut/test/bent/020.png,bent,1,0.9655605554580688,0.8894343376159668,0.0187313668429851,700,700,9625,0.5,0.5
56,data/mvtec_ad/metal_nut/test/flip/009.png,flip,1,0.9643415808677672,0.8665879964828491,0.0219458825886249,700,700,236366,0.5,0.5
53,data/mvtec_ad/metal_nut/test/flip/006.png,flip,1,0.963988482952118,0.9151232242584229,0.0207355320453643,700,700,235543,0.5,0.5
5,data/mvtec_ad/metal_nut/test/bent/005.png,bent,1,0.960228681564331,0.9111794829368592,0.0223346538841724,700,700,10851,0.5,0.5
11,data/mvtec_ad/metal_nut/test/bent/011.png,bent,1,0.9499993324279784,0.8962510228157043,0.0202505234628915,700,700,7137,0.5,0.5
16,data/mvtec_ad/metal_nut/test/bent/016.png,bent,1,0.9496989250183104,0.886412501335144,0.0203981958329677,700,700,8326,0.5,0.5
3,data/mvtec_ad/metal_nut/test/bent/003.png,bent,1,0.9483877420425416,0.905189573764801,0.0213107410818338,700,700,9132,0.5,0.5
61,data/mvtec_ad/metal_nut/test/flip/014.png,flip,1,0.9458847641944884,0.8973604440689087,0.0223771166056394,700,700,234692,0.5,0.5
80,data/mvtec_ad/metal_nut/test/good/010.png,good,0,0.945157527923584,0.66289222240448,0.0228141732513904,700,700,0,0.5,0.5
