sample_index,image_path,defect_type,label,image_score,feature_score,ae_score,image_h,image_w,mask_positive_pixels,feature_weight,ae_weight
8,data/mvtec_ad/transistor/test/bent_lead/008.png,bent_lead,1,0.9610345363616944,0.8397744297981262,0.0166202224791049,1024,1024,38241,0.5,0.5
95,data/mvtec_ad/transistor/test/misplaced/005.png,misplaced,1,0.954355239868164,0.9071865677833556,0.0223375149071216,1024,1024,450193,0.5,0.5
72,data/mvtec_ad/transistor/test/good/042.png,good,0,0.9530837535858154,0.7361828684806824,0.0162705536931753,1024,1024,0,0.5,0.5
96,data/mvtec_ad/transistor/test/misplaced/006.png,misplaced,1,0.9471057653427124,0.7921541333198547,0.0179283060133457,1024,1024,424486,0.5,0.5
0,data/mvtec_ad/transistor/test/bent_lead/000.png,bent_lead,1,0.9464367628097534,0.7865378856658936,0.0161555409431457,1024,1024,4485,0.5,0.5
94,data/mvtec_ad/transistor/test/misplaced/004.png,misplaced,1,0.9431726932525636,0.8743893504142761,0.0193181484937667,1024,1024,423908,0.5,0.5
7,data/mvtec_ad/transistor/test/bent_lead/007.png,bent_lead,1,0.9400014877319336,0.862441897392273,0.0180256757885217,1024,1024,33409,0.5,0.5
52,data/mvtec_ad/transistor/test/good/022.png,good,0,0.937423825263977,0.6027086973190308,0.0166280008852481,1024,1024,0,0.5,0.5
64,data/mvtec_ad/transistor/test/good/034.png,good,0,0.936549425125122,0.6209045648574829,0.0149843888357281,1024,1024,0,0.5,0.5
12,data/mvtec_ad/transistor/test/cut_lead/002.png,cut_lead,1,0.9349321126937866,0.7939040660858154,0.0149525888264179,1024,1024,10883,0.5,0.5
13,data/mvtec_ad/transistor/test/cut_lead/003.png,cut_lead,1,0.9337301850318908,0.8365631103515625,0.0156896375119686,1024,1024,14952,0.5,0.5
53,data/mvtec_ad/transistor/test/good/023.png,good,0,0.9324553608894348,0.6133333444595337,0.0159802474081516,1024,1024,0,0.5,0.5
78,data/mvtec_ad/transistor/test/good/048.png,good,0,0.9304848313331604,0.649597704410553,0.0156937800347805,1024,1024,0,0.5,0.5
68,data/mvtec_ad/transistor/test/good/038.png,good,0,0.9286457300186156,0.6746732592582703,0.0145154437050223,1024,1024,0,0.5,0.5
79,data/mvtec_ad/transistor/test/good/049.png,good,0,0.927929162979126,0.6360868215560913,0.016940826550126,1024,1024,0,0.5,0.5
16,data/mvtec_ad/transistor/test/cut_lead/006.png,cut_lead,1,0.9200748205184937,0.8371912837028503,0.0161301605403423,1024,1024,16077,0.5,0.5
89,data/mvtec_ad/transistor/test/good/059.png,good,0,0.9122511744499208,0.6691601872444153,0.0196134913712739,1024,1024,0,0.5,0.5
57,data/mvtec_ad/transistor/test/good/027.png,good,0,0.9085787534713744,0.6441057324409485,0.0145725654438138,1024,1024,0,0.5,0.5
55,data/mvtec_ad/transistor/test/good/025.png,good,0,0.9081306457519532,0.6771356463432312,0.0208431836217641,1024,1024,0,0.5,0.5
10,data/mvtec_ad/transistor/test/cut_lead/000.png,cut_lead,1,0.9047404527664183,0.7731398940086365,0.0163083169609308,1024,1024,11797,0.5,0.5
49,data/mvtec_ad/transistor/test/good/019.png,good,0,0.9044053554534912,0.7200679183006287,0.0173520389944314,1024,1024,0,0.5,0.5
87,data/mvtec_ad/transistor/test/good/057.png,good,0,0.9031829833984376,0.648404061794281,0.019150510430336,1024,1024,0,0.5,0.5
19,data/mvtec_ad/transistor/test/cut_lead/009.png,cut_lead,1,0.9027302265167236,0.7739991545677185,0.0141201196238398,1024,1024,18426,0.5,0.5
2,data/mvtec_ad/transistor/test/bent_lead/002.png,bent_lead,1,0.9015294909477234,0.7956820726394653,0.0151392444968223,1024,1024,11899,0.5,0.5
39,data/mvtec_ad/transistor/test/good/009.png,good,0,0.9012382626533508,0.6648897528648376,0.0140141192823648,1024,1024,0,0.5,0.5
83,data/mvtec_ad/transistor/test/good/053.png,good,0,0.8977177143096924,0.6632175445556641,0.0173057075589895,1024,1024,0,0.5,0.5
97,data/mvtec_ad/transistor/test/misplaced/007.png,misplaced,1,0.8972428441047668,0.9866515398025512,0.0300784725695848,1024,1024,512572,0.5,0.5
76,data/mvtec_ad/transistor/test/good/046.png,good,0,0.8958908319473267,0.6976136565208435,0.0140426000580191,1024,1024,0,0.5,0.5
32,data/mvtec_ad/transistor/test/good/002.png,good,0,0.8956661820411682,0.649192750453949,0.0160703714936971,1024,1024,0,0.5,0.5
74,data/mvtec_ad/transistor/test/good/044.png,good,0,0.891024649143219,0.7338209748268127,0.016444057226181,1024,1024,0,0.5,0.5
60,data/mvtec_ad/transistor/test/good/030.png,good,0,0.8895214200019836,0.6130743026733398,0.015310289338231,1024,1024,0,0.5,0.5
63,data/mvtec_ad/transistor/test/good/033.png,good,0,0.8887968063354492,0.6543972492218018,0.0170747954398393,1024,1024,0,0.5,0.5
98,data/mvtec_ad/transistor/test/misplaced/008.png,misplaced,1,0.8881567716598511,0.9609450101852416,0.0294781252741813,1024,1024,517163,0.5,0.5
99,data/mvtec_ad/transistor/test/misplaced/009.png,misplaced,1,0.8870441913604736,0.8687013983726501,0.0250087566673755,1024,1024,414647,0.5,0.5
82,data/mvtec_ad/transistor/test/good/052.png,good,0,0.8862312436103821,0.7010323405265808,0.0156969632953405,1024,1024,0,0.5,0.5
73,data/mvtec_ad/transistor/test/good/043.png,good,0,0.8818671703338623,0.654589056968689,0.0151868108659982,1024,1024,0,0.5,0.5
50,data/mvtec_ad/transistor/test/good/020.png,good,0,0.880934476852417,0.6422002911567688,0.017654025927186,1024,1024,0,0.5,0.5
70,data/mvtec_ad/transistor/test/good/040.png,good,0,0.8787350654602051,0.6914826035499573,0.0164080467075109,1024,1024,0,0.5,0.5
6,data/mvtec_ad/transistor/test/bent_lead/006.png,bent_lead,1,0.8767745494842529,0.8355395197868347,0.0168809220194816,1024,1024,37531,0.5,0.5
14,data/mvtec_ad/transistor/test/cut_lead/004.png,cut_lead,1,0.8754053711891174,0.8004030585289001,0.0141080915927886,1024,1024,37545,0.5,0.5
1,data/mvtec_ad/transistor/test/bent_lead/001.png,bent_lead,1,0.8749626278877258,0.7276374697685242,0.0182401835918426,1024,1024,2346,0.5,0.5
38,data/mvtec_ad/transistor/test/good/008.png,good,0,0.8736146688461304,0.6604118347167969,0.0147709622979164,1024,1024,0,0.5,0.5
41,data/mvtec_ad/transistor/test/good/011.png,good,0,0.8730608224868774,0.6351876854896545,0.0130286840721964,1024,1024,0,0.5,0.5
69,data/mvtec_ad/transistor/test/good/039.png,good,0,0.8729158639907837,0.6648409962654114,0.0146558117121458,1024,1024,0,0.5,0.5
15,data/mvtec_ad/transistor/test/cut_lead/005.png,cut_lead,1,0.8706333637237549,0.788865327835083,0.0139202531427145,1024,1024,11874,0.5,0.5
48,data/mvtec_ad/transistor/test/good/018.png,good,0,0.8630969524383545,0.6301460862159729,0.0176690146327018,1024,1024,0,0.5,0.5
65,data/mvtec_ad/transistor/test/good/035.png,good,0,0.8626893758773804,0.6849251389503479,0.0156179806217551,1024,1024,0,0.5,0.5
