sample_index,image_path,defect_type,label,image_score,patch_grid_h,patch_grid_w,image_h,image_w,mask_positive_pixels
56,data/mvtec_ad/bottle/test/contamination/014.png,contamination,1,1.0384994745254517,32,32,900,900,5429
49,data/mvtec_ad/bottle/test/contamination/007.png,contamination,1,1.0303404331207275,32,32,900,900,45048
59,data/mvtec_ad/bottle/test/contamination/017.png,contamination,1,1.0009955167770386,32,32,900,900,67541
6,data/mvtec_ad/bottle/test/broken_large/006.png,broken_large,1,1.0006394386291504,32,32,900,900,123810
18,data/mvtec_ad/bottle/test/broken_large/018.png,broken_large,1,0.9912993907928467,32,32,900,900,106080
3,data/mvtec_ad/bottle/test/broken_large/003.png,broken_large,1,0.9898985624313354,32,32,900,900,222091
24,data/mvtec_ad/bottle/test/broken_small/004.png,broken_small,1,0.9799456000328064,32,32,900,900,25926
55,data/mvtec_ad/bottle/test/contamination/013.png,contamination,1,0.9770089387893677,32,32,900,900,41319
4,data/mvtec_ad/bottle/test/broken_large/004.png,broken_large,1,0.9735274910926819,32,32,900,900,33132
1,data/mvtec_ad/bottle/test/broken_large/001.png,broken_large,1,0.9685692191123962,32,32,900,900,76641
36,data/mvtec_ad/bottle/test/broken_small/016.png,broken_small,1,0.9662691950798035,32,32,900,900,16578
40,data/mvtec_ad/bottle/test/broken_small/020.png,broken_small,1,0.9661353826522827,32,32,900,900,28333
5,data/mvtec_ad/bottle/test/broken_large/005.png,broken_large,1,0.9654064774513245,32,32,900,900,33201
32,data/mvtec_ad/bottle/test/broken_small/012.png,broken_small,1,0.9623731374740601,32,32,900,900,63191
38,data/mvtec_ad/bottle/test/broken_small/018.png,broken_small,1,0.9602194428443909,32,32,900,900,46314
47,data/mvtec_ad/bottle/test/contamination/005.png,contamination,1,0.9600714445114136,32,32,900,900,99554
10,data/mvtec_ad/bottle/test/broken_large/010.png,broken_large,1,0.9600489139556885,32,32,900,900,90028
12,data/mvtec_ad/bottle/test/broken_large/012.png,broken_large,1,0.9572257995605469,32,32,900,900,70457
60,data/mvtec_ad/bottle/test/contamination/018.png,contamination,1,0.9556405544281006,32,32,900,900,4663
21,data/mvtec_ad/bottle/test/broken_small/001.png,broken_small,1,0.9530861377716064,32,32,900,900,11966
37,data/mvtec_ad/bottle/test/broken_small/017.png,broken_small,1,0.9483152031898499,32,32,900,900,20384
19,data/mvtec_ad/bottle/test/broken_large/019.png,broken_large,1,0.9472410678863525,32,32,900,900,102217
0,data/mvtec_ad/bottle/test/broken_large/000.png,broken_large,1,0.9452248811721802,32,32,900,900,88192
41,data/mvtec_ad/bottle/test/broken_small/021.png,broken_small,1,0.9417365193367004,32,32,900,900,14995
30,data/mvtec_ad/bottle/test/broken_small/010.png,broken_small,1,0.9410920143127441,32,32,900,900,37177
22,data/mvtec_ad/bottle/test/broken_small/002.png,broken_small,1,0.9410894513130188,32,32,900,900,29456
39,data/mvtec_ad/bottle/test/broken_small/019.png,broken_small,1,0.9392430782318115,32,32,900,900,22626
17,data/mvtec_ad/bottle/test/broken_large/017.png,broken_large,1,0.9355243444442749,32,32,900,900,114063
