sample_index,image_path,defect_type,label,image_score,patch_grid_h,patch_grid_w,image_h,image_w,mask_positive_pixels
1,data/mvtec_ad/capsule/test/crack/001.png,crack,1,0.9749447107315063,32,32,1000,1000,23268
4,data/mvtec_ad/capsule/test/crack/004.png,crack,1,0.950867235660553,32,32,1000,1000,3043
15,data/mvtec_ad/capsule/test/crack/015.png,crack,1,0.947009801864624,32,32,1000,1000,11638
17,data/mvtec_ad/capsule/test/crack/017.png,crack,1,0.9405460953712463,32,32,1000,1000,4812
10,data/mvtec_ad/capsule/test/crack/010.png,crack,1,0.9188858270645142,32,32,1000,1000,17974
127,data/mvtec_ad/capsule/test/squeeze/015.png,squeeze,1,0.911659836769104,32,32,1000,1000,23973
112,data/mvtec_ad/capsule/test/squeeze/000.png,squeeze,1,0.8913899660110474,32,32,1000,1000,76945
76,data/mvtec_ad/capsule/test/poke/008.png,poke,1,0.8886561989784241,32,32,1000,1000,5162
11,data/mvtec_ad/capsule/test/crack/011.png,crack,1,0.8874179720878601,32,32,1000,1000,5428
12,data/mvtec_ad/capsule/test/crack/012.png,crack,1,0.8760596513748169,32,32,1000,1000,3416
123,data/mvtec_ad/capsule/test/squeeze/011.png,squeeze,1,0.8695476055145264,32,32,1000,1000,61876
118,data/mvtec_ad/capsule/test/squeeze/006.png,squeeze,1,0.8609135150909424,32,32,1000,1000,70635
14,data/mvtec_ad/capsule/test/crack/014.png,crack,1,0.8549891710281372,32,32,1000,1000,991
68,data/mvtec_ad/capsule/test/poke/000.png,poke,1,0.8504977226257324,32,32,1000,1000,12289
129,data/mvtec_ad/capsule/test/squeeze/017.png,squeeze,1,0.8496161699295044,32,32,1000,1000,5786
119,data/mvtec_ad/capsule/test/squeeze/007.png,squeeze,1,0.8443266749382019,32,32,1000,1000,66178
115,data/mvtec_ad/capsule/test/squeeze/003.png,squeeze,1,0.8423958420753479,32,32,1000,1000,3413
81,data/mvtec_ad/capsule/test/poke/013.png,poke,1,0.8398423194885254,32,32,1000,1000,2479
18,data/mvtec_ad/capsule/test/crack/018.png,crack,1,0.8368392586708069,32,32,1000,1000,2820
13,data/mvtec_ad/capsule/test/crack/013.png,crack,1,0.8296839594841003,32,32,1000,1000,903
82,data/mvtec_ad/capsule/test/poke/014.png,poke,1,0.8266385793685913,32,32,1000,1000,3589
128,data/mvtec_ad/capsule/test/squeeze/016.png,squeeze,1,0.8219302296638489,32,32,1000,1000,80278
