sample_index,image_path,defect_type,label,image_score,patch_grid_h,patch_grid_w,image_h,image_w,mask_positive_pixels
98,data/mvtec_ad/screw/test/scratch_neck/009.png,scratch_neck,1,0.8661813735961914,32,32,1024,1024,2582
92,data/mvtec_ad/screw/test/scratch_neck/003.png,scratch_neck,1,0.8586584329605103,32,32,1024,1024,2614
97,data/mvtec_ad/screw/test/scratch_neck/008.png,scratch_neck,1,0.8516073822975159,32,32,1024,1024,4567
105,data/mvtec_ad/screw/test/scratch_neck/016.png,scratch_neck,1,0.8138536214828491,32,32,1024,1024,3955
96,data/mvtec_ad/screw/test/scratch_neck/007.png,scratch_neck,1,0.8035064935684204,32,32,1024,1024,3062
95,data/mvtec_ad/screw/test/scratch_neck/006.png,scratch_neck,1,0.8029420971870422,32,32,1024,1024,4725
108,data/mvtec_ad/screw/test/scratch_neck/019.png,scratch_neck,1,0.8003130555152893,32,32,1024,1024,4108
102,data/mvtec_ad/screw/test/scratch_neck/013.png,scratch_neck,1,0.7961949706077576,32,32,1024,1024,3198
113,data/mvtec_ad/screw/test/scratch_neck/024.png,scratch_neck,1,0.7915514707565308,32,32,1024,1024,3240
107,data/mvtec_ad/screw/test/scratch_neck/018.png,scratch_neck,1,0.7880671620368958,32,32,1024,1024,3269
104,data/mvtec_ad/screw/test/scratch_neck/015.png,scratch_neck,1,0.7880176305770874,32,32,1024,1024,3017
93,data/mvtec_ad/screw/test/scratch_neck/004.png,scratch_neck,1,0.7775374054908752,32,32,1024,1024,3823
144,data/mvtec_ad/screw/test/thread_top/007.png,thread_top,1,0.7767066359519958,32,32,1024,1024,6834
100,data/mvtec_ad/screw/test/scratch_neck/011.png,scratch_neck,1,0.7680614590644836,32,32,1024,1024,1637
148,data/mvtec_ad/screw/test/thread_top/011.png,thread_top,1,0.7575212717056274,32,32,1024,1024,5075
109,data/mvtec_ad/screw/test/scratch_neck/020.png,scratch_neck,1,0.7557057738304138,32,32,1024,1024,7369
59,data/mvtec_ad/screw/test/manipulated_front/018.png,manipulated_front,1,0.7521671056747437,32,32,1024,1024,2756
5,data/mvtec_ad/screw/test/good/005.png,good,0,0.7456291317939758,32,32,1024,1024,0
76,data/mvtec_ad/screw/test/scratch_head/011.png,scratch_head,1,0.7424298524856567,32,32,1024,1024,2801
123,data/mvtec_ad/screw/test/thread_side/009.png,thread_side,1,0.741012454032898,32,32,1024,1024,2577
157,data/mvtec_ad/screw/test/thread_top/020.png,thread_top,1,0.7384447455406189,32,32,1024,1024,6790
90,data/mvtec_ad/screw/test/scratch_neck/001.png,scratch_neck,1,0.7280014157295227,32,32,1024,1024,7445
110,data/mvtec_ad/screw/test/scratch_neck/021.png,scratch_neck,1,0.7270749807357788,32,32,1024,1024,2687
117,data/mvtec_ad/screw/test/thread_side/003.png,thread_side,1,0.7261446118354797,32,32,1024,1024,2047
142,data/mvtec_ad/screw/test/thread_top/005.png,thread_top,1,0.7197631001472473,32,32,1024,1024,10599
72,data/mvtec_ad/screw/test/scratch_head/007.png,scratch_head,1,0.713238000869751,32,32,1024,1024,2707
111,data/mvtec_ad/screw/test/scratch_neck/022.png,scratch_neck,1,0.711468517780304,32,32,1024,1024,1033
80,data/mvtec_ad/screw/test/scratch_head/015.png,scratch_head,1,0.703228771686554,32,32,1024,1024,3545
70,data/mvtec_ad/screw/test/scratch_head/005.png,scratch_head,1,0.7025792002677917,32,32,1024,1024,1355
77,data/mvtec_ad/screw/test/scratch_head/012.png,scratch_head,1,0.7024040818214417,32,32,1024,1024,3541
52,data/mvtec_ad/screw/test/manipulated_front/011.png,manipulated_front,1,0.7011457085609436,32,32,1024,1024,3133
156,data/mvtec_ad/screw/test/thread_top/019.png,thread_top,1,0.700368344783783,32,32,1024,1024,7792
145,data/mvtec_ad/screw/test/thread_top/008.png,thread_top,1,0.6997866630554199,32,32,1024,1024,5620
82,data/mvtec_ad/screw/test/scratch_head/017.png,scratch_head,1,0.698790431022644,32,32,1024,1024,2511
56,data/mvtec_ad/screw/test/manipulated_front/015.png,manipulated_front,1,0.6979978084564209,32,32,1024,1024,4777
83,data/mvtec_ad/screw/test/scratch_head/018.png,scratch_head,1,0.6961304545402527,32,32,1024,1024,3846
84,data/mvtec_ad/screw/test/scratch_head/019.png,scratch_head,1,0.6954562664031982,32,32,1024,1024,2618
149,data/mvtec_ad/screw/test/thread_top/012.png,thread_top,1,0.6953176259994507,32,32,1024,1024,1275
54,data/mvtec_ad/screw/test/manipulated_front/013.png,manipulated_front,1,0.6949135661125183,32,32,1024,1024,3133
124,data/mvtec_ad/screw/test/thread_side/010.png,thread_side,1,0.6932493448257446,32,32,1024,1024,3097
57,data/mvtec_ad/screw/test/manipulated_front/016.png,manipulated_front,1,0.6924440264701843,32,32,1024,1024,7016
71,data/mvtec_ad/screw/test/scratch_head/006.png,scratch_head,1,0.6917033791542053,32,32,1024,1024,2586
66,data/mvtec_ad/screw/test/scratch_head/001.png,scratch_head,1,0.69127357006073,32,32,1024,1024,3019
63,data/mvtec_ad/screw/test/manipulated_front/022.png,manipulated_front,1,0.6884015798568726,32,32,1024,1024,1506
153,data/mvtec_ad/screw/test/thread_top/016.png,thread_top,1,0.6877377033233643,32,32,1024,1024,4124
119,data/mvtec_ad/screw/test/thread_side/005.png,thread_side,1,0.6856123208999634,32,32,1024,1024,2721
131,data/mvtec_ad/screw/test/thread_side/017.png,thread_side,1,0.6850104928016663,32,32,1024,1024,2901
139,data/mvtec_ad/screw/test/thread_top/002.png,thread_top,1,0.6848969459533691,32,32,1024,1024,6084
45,data/mvtec_ad/screw/test/manipulated_front/004.png,manipulated_front,1,0.6842226386070251,32,32,1024,1024,2245
62,data/mvtec_ad/screw/test/manipulated_front/021.png,manipulated_front,1,0.6820430755615234,32,32,1024,1024,1537
4,data/mvtec_ad/screw/test/good/004.png,good,0,0.6817309260368347,32,32,1024,1024,0
89,data/mvtec_ad/screw/test/scratch_neck/000.png,scratch_neck,1,0.6811966896057129,32,32,1024,1024,2810
50,data/mvtec_ad/screw/test/manipulated_front/009.png,manipulated_front,1,0.6798389554023743,32,32,1024,1024,6709
55,data/mvtec_ad/screw/test/manipulated_front/014.png,manipulated_front,1,0.6793041825294495,32,32,1024,1024,3315
75,data/mvtec_ad/screw/test/scratch_head/010.png,scratch_head,1,0.6792009472846985,32,32,1024,1024,2213
81,data/mvtec_ad/screw/test/scratch_head/016.png,scratch_head,1,0.6790439486503601,32,32,1024,1024,2091
101,data/mvtec_ad/screw/test/scratch_neck/012.png,scratch_neck,1,0.678411602973938,32,32,1024,1024,3583
155,data/mvtec_ad/screw/test/thread_top/018.png,thread_top,1,0.6755152940750122,32,32,1024,1024,5585
78,data/mvtec_ad/screw/test/scratch_head/013.png,scratch_head,1,0.6747944951057434,32,32,1024,1024,1953
122,data/mvtec_ad/screw/test/thread_side/008.png,thread_side,1,0.670758068561554,32,32,1024,1024,2757
99,data/mvtec_ad/screw/test/scratch_neck/010.png,scratch_neck,1,0.6706525683403015,32,32,1024,1024,4609
138,data/mvtec_ad/screw/test/thread_top/001.png,thread_top,1,0.6705222725868225,32,32,1024,1024,6387
94,data/mvtec_ad/screw/test/scratch_neck/005.png,scratch_neck,1,0.6682278513908386,32,32,1024,1024,2145
103,data/mvtec_ad/screw/test/scratch_neck/014.png,scratch_neck,1,0.6669000387191772,32,32,1024,1024,2981
151,data/mvtec_ad/screw/test/thread_top/014.png,thread_top,1,0.6665023565292358,32,32,1024,1024,4905
49,data/mvtec_ad/screw/test/manipulated_front/008.png,manipulated_front,1,0.6663275957107544,32,32,1024,1024,3808
48,data/mvtec_ad/screw/test/manipulated_front/007.png,manipulated_front,1,0.6654093861579895,32,32,1024,1024,4911
44,data/mvtec_ad/screw/test/manipulated_front/003.png,manipulated_front,1,0.6643097996711731,32,32,1024,1024,4826
69,data/mvtec_ad/screw/test/scratch_head/004.png,scratch_head,1,0.6642292737960815,32,32,1024,1024,2981
68,data/mvtec_ad/screw/test/scratch_head/003.png,scratch_head,1,0.663555920124054,32,32,1024,1024,1741
112,data/mvtec_ad/screw/test/scratch_neck/023.png,scratch_neck,1,0.6633197665214539,32,32,1024,1024,1717
67,data/mvtec_ad/screw/test/scratch_head/002.png,scratch_head,1,0.6631981134414673,32,32,1024,1024,3012
154,data/mvtec_ad/screw/test/thread_top/017.png,thread_top,1,0.6621375679969788,32,32,1024,1024,1161
121,data/mvtec_ad/screw/test/thread_side/007.png,thread_side,1,0.6612008213996887,32,32,1024,1024,3887
115,data/mvtec_ad/screw/test/thread_side/001.png,thread_side,1,0.6600059866905212,32,32,1024,1024,6009
51,data/mvtec_ad/screw/test/manipulated_front/010.png,manipulated_front,1,0.659258246421814,32,32,1024,1024,3690
118,data/mvtec_ad/screw/test/thread_side/004.png,thread_side,1,0.6571813821792603,32,32,1024,1024,1460
147,data/mvtec_ad/screw/test/thread_top/010.png,thread_top,1,0.6495123505592346,32,32,1024,1024,5418
53,data/mvtec_ad/screw/test/manipulated_front/012.png,manipulated_front,1,0.6488354802131653,32,32,1024,1024,1695
130,data/mvtec_ad/screw/test/thread_side/016.png,thread_side,1,0.6487571001052856,32,32,1024,1024,5564
136,data/mvtec_ad/screw/test/thread_side/022.png,thread_side,1,0.64798504114151,32,32,1024,1024,3904
143,data/mvtec_ad/screw/test/thread_top/006.png,thread_top,1,0.6477232575416565,32,32,1024,1024,7649
14,data/mvtec_ad/screw/test/good/014.png,good,0,0.6468230485916138,32,32,1024,1024,0
133,data/mvtec_ad/screw/test/thread_side/019.png,thread_side,1,0.6463177800178528,32,32,1024,1024,1207
79,data/mvtec_ad/screw/test/scratch_head/014.png,scratch_head,1,0.6462042331695557,32,32,1024,1024,2388
150,data/mvtec_ad/screw/test/thread_top/013.png,thread_top,1,0.644774854183197,32,32,1024,1024,3005
58,data/mvtec_ad/screw/test/manipulated_front/017.png,manipulated_front,1,0.6429722905158997,32,32,1024,1024,1443
91,data/mvtec_ad/screw/test/scratch_neck/002.png,scratch_neck,1,0.6417189836502075,32,32,1024,1024,2926
24,data/mvtec_ad/screw/test/good/024.png,good,0,0.6410958766937256,32,32,1024,1024,0
132,data/mvtec_ad/screw/test/thread_side/018.png,thread_side,1,0.6409755945205688,32,32,1024,1024,2424
15,data/mvtec_ad/screw/test/good/015.png,good,0,0.6377130150794983,32,32,1024,1024,0
159,data/mvtec_ad/screw/test/thread_top/022.png,thread_top,1,0.637070894241333,32,32,1024,1024,4004
152,data/mvtec_ad/screw/test/thread_top/015.png,thread_top,1,0.6340819597244263,32,32,1024,1024,3769
88,data/mvtec_ad/screw/test/scratch_head/023.png,scratch_head,1,0.6338646411895752,32,32,1024,1024,2444
38,data/mvtec_ad/screw/test/good/038.png,good,0,0.6335431933403015,32,32,1024,1024,0
74,data/mvtec_ad/screw/test/scratch_head/009.png,scratch_head,1,0.6330484747886658,32,32,1024,1024,3278
86,data/mvtec_ad/screw/test/scratch_head/021.png,scratch_head,1,0.6316292881965637,32,32,1024,1024,2066
3,data/mvtec_ad/screw/test/good/003.png,good,0,0.6296263933181763,32,32,1024,1024,0
41,data/mvtec_ad/screw/test/manipulated_front/000.png,manipulated_front,1,0.6287761330604553,32,32,1024,1024,3806
134,data/mvtec_ad/screw/test/thread_side/020.png,thread_side,1,0.6282083988189697,32,32,1024,1024,1601
137,data/mvtec_ad/screw/test/thread_top/000.png,thread_top,1,0.6281076669692993,32,32,1024,1024,6803
64,data/mvtec_ad/screw/test/manipulated_front/023.png,manipulated_front,1,0.6274265050888062,32,32,1024,1024,2523
7,data/mvtec_ad/screw/test/good/007.png,good,0,0.6255371570587158,32,32,1024,1024,0
114,data/mvtec_ad/screw/test/thread_side/000.png,thread_side,1,0.6240071058273315,32,32,1024,1024,1580
30,data/mvtec_ad/screw/test/good/030.png,good,0,0.6231956481933594,32,32,1024,1024,0
12,data/mvtec_ad/screw/test/good/012.png,good,0,0.6226426362991333,32,32,1024,1024,0
141,data/mvtec_ad/screw/test/thread_top/004.png,thread_top,1,0.6223426461219788,32,32,1024,1024,6696
87,data/mvtec_ad/screw/test/scratch_head/022.png,scratch_head,1,0.6213184595108032,32,32,1024,1024,1402
85,data/mvtec_ad/screw/test/scratch_head/020.png,scratch_head,1,0.621251106262207,32,32,1024,1024,2465
116,data/mvtec_ad/screw/test/thread_side/002.png,thread_side,1,0.6205334067344666,32,32,1024,1024,2302
73,data/mvtec_ad/screw/test/scratch_head/008.png,scratch_head,1,0.6197558641433716,32,32,1024,1024,3009
47,data/mvtec_ad/screw/test/manipulated_front/006.png,manipulated_front,1,0.6169043779373169,32,32,1024,1024,3633
106,data/mvtec_ad/screw/test/scratch_neck/017.png,scratch_neck,1,0.6166934370994568,32,32,1024,1024,3813
125,data/mvtec_ad/screw/test/thread_side/011.png,thread_side,1,0.6146203875541687,32,32,1024,1024,1761
60,data/mvtec_ad/screw/test/manipulated_front/019.png,manipulated_front,1,0.6145923733711243,32,32,1024,1024,1771
65,data/mvtec_ad/screw/test/scratch_head/000.png,scratch_head,1,0.6120078563690186,32,32,1024,1024,2767
46,data/mvtec_ad/screw/test/manipulated_front/005.png,manipulated_front,1,0.6111292243003845,32,32,1024,1024,3304
129,data/mvtec_ad/screw/test/thread_side/015.png,thread_side,1,0.610484778881073,32,32,1024,1024,2977
39,data/mvtec_ad/screw/test/good/039.png,good,0,0.6095338463783264,32,32,1024,1024,0
127,data/mvtec_ad/screw/test/thread_side/013.png,thread_side,1,0.6093392968177795,32,32,1024,1024,1685
31,data/mvtec_ad/screw/test/good/031.png,good,0,0.6075683832168579,32,32,1024,1024,0
6,data/mvtec_ad/screw/test/good/006.png,good,0,0.6062175631523132,32,32,1024,1024,0
1,data/mvtec_ad/screw/test/good/001.png,good,0,0.6055240035057068,32,32,1024,1024,0
146,data/mvtec_ad/screw/test/thread_top/009.png,thread_top,1,0.6052265167236328,32,32,1024,1024,4056
32,data/mvtec_ad/screw/test/good/032.png,good,0,0.6051982045173645,32,32,1024,1024,0
11,data/mvtec_ad/screw/test/good/011.png,good,0,0.603880763053894,32,32,1024,1024,0
36,data/mvtec_ad/screw/test/good/036.png,good,0,0.6027832627296448,32,32,1024,1024,0
18,data/mvtec_ad/screw/test/good/018.png,good,0,0.6027166247367859,32,32,1024,1024,0
126,data/mvtec_ad/screw/test/thread_side/012.png,thread_side,1,0.6020330786705017,32,32,1024,1024,4231
16,data/mvtec_ad/screw/test/good/016.png,good,0,0.601616382598877,32,32,1024,1024,0
27,data/mvtec_ad/screw/test/good/027.png,good,0,0.6014736294746399,32,32,1024,1024,0
140,data/mvtec_ad/screw/test/thread_top/003.png,thread_top,1,0.6003008484840393,32,32,1024,1024,4646
8,data/mvtec_ad/screw/test/good/008.png,good,0,0.6001362800598145,32,32,1024,1024,0
128,data/mvtec_ad/screw/test/thread_side/014.png,thread_side,1,0.5970734357833862,32,32,1024,1024,2720
135,data/mvtec_ad/screw/test/thread_side/021.png,thread_side,1,0.5963909029960632,32,32,1024,1024,3364
10,data/mvtec_ad/screw/test/good/010.png,good,0,0.5958768725395203,32,32,1024,1024,0
21,data/mvtec_ad/screw/test/good/021.png,good,0,0.5957109332084656,32,32,1024,1024,0
37,data/mvtec_ad/screw/test/good/037.png,good,0,0.5950667262077332,32,32,1024,1024,0
19,data/mvtec_ad/screw/test/good/019.png,good,0,0.5946019291877747,32,32,1024,1024,0
29,data/mvtec_ad/screw/test/good/029.png,good,0,0.5935874581336975,32,32,1024,1024,0
42,data/mvtec_ad/screw/test/manipulated_front/001.png,manipulated_front,1,0.593302309513092,32,32,1024,1024,2866
25,data/mvtec_ad/screw/test/good/025.png,good,0,0.5898518562316895,32,32,1024,1024,0
22,data/mvtec_ad/screw/test/good/022.png,good,0,0.5898346900939941,32,32,1024,1024,0
158,data/mvtec_ad/screw/test/thread_top/021.png,thread_top,1,0.5897915363311768,32,32,1024,1024,5326
43,data/mvtec_ad/screw/test/manipulated_front/002.png,manipulated_front,1,0.5897857546806335,32,32,1024,1024,2520
61,data/mvtec_ad/screw/test/manipulated_front/020.png,manipulated_front,1,0.5882958173751831,32,32,1024,1024,1359
13,data/mvtec_ad/screw/test/good/013.png,good,0,0.5882208943367004,32,32,1024,1024,0
9,data/mvtec_ad/screw/test/good/009.png,good,0,0.5845730304718018,32,32,1024,1024,0
120,data/mvtec_ad/screw/test/thread_side/006.png,thread_side,1,0.5834606289863586,32,32,1024,1024,4696
40,data/mvtec_ad/screw/test/good/040.png,good,0,0.5828971862792969,32,32,1024,1024,0
35,data/mvtec_ad/screw/test/good/035.png,good,0,0.5823730230331421,32,32,1024,1024,0
23,data/mvtec_ad/screw/test/good/023.png,good,0,0.5814999341964722,32,32,1024,1024,0
20,data/mvtec_ad/screw/test/good/020.png,good,0,0.5785783529281616,32,32,1024,1024,0
28,data/mvtec_ad/screw/test/good/028.png,good,0,0.5780667662620544,32,32,1024,1024,0
17,data/mvtec_ad/screw/test/good/017.png,good,0,0.5763880610466003,32,32,1024,1024,0
26,data/mvtec_ad/screw/test/good/026.png,good,0,0.5743753910064697,32,32,1024,1024,0
2,data/mvtec_ad/screw/test/good/002.png,good,0,0.5735551714897156,32,32,1024,1024,0
33,data/mvtec_ad/screw/test/good/033.png,good,0,0.5676394104957581,32,32,1024,1024,0
0,data/mvtec_ad/screw/test/good/000.png,good,0,0.5549055933952332,32,32,1024,1024,0
34,data/mvtec_ad/screw/test/good/034.png,good,0,0.5434609055519104,32,32,1024,1024,0
