sample_index,image_path,defect_type,label,image_score
45,data/mvtec_ad/metal_nut/test/color/020.png,color,1,0.9580313563346863
57,data/mvtec_ad/metal_nut/test/flip/010.png,flip,1,0.9427981972694397
110,data/mvtec_ad/metal_nut/test/scratch/018.png,scratch,1,0.9260292053222656
36,data/mvtec_ad/metal_nut/test/color/011.png,color,1,0.9243714809417725
63,data/mvtec_ad/metal_nut/test/flip/016.png,flip,1,0.9210929274559021
66,data/mvtec_ad/metal_nut/test/flip/019.png,flip,1,0.9202049374580383
50,data/mvtec_ad/metal_nut/test/flip/003.png,flip,1,0.9170107245445251
2,data/mvtec_ad/metal_nut/test/bent/002.png,bent,1,0.9167701005935669
24,data/mvtec_ad/metal_nut/test/bent/024.png,bent,1,0.9156076908111572
53,data/mvtec_ad/metal_nut/test/flip/006.png,flip,1,0.9151232242584229
100,data/mvtec_ad/metal_nut/test/scratch/008.png,scratch,1,0.9144097566604614
68,data/mvtec_ad/metal_nut/test/flip/021.png,flip,1,0.9118204116821289
5,data/mvtec_ad/metal_nut/test/bent/005.png,bent,1,0.9111794829368591
67,data/mvtec_ad/metal_nut/test/flip/020.png,flip,1,0.9097625017166138
51,data/mvtec_ad/metal_nut/test/flip/004.png,flip,1,0.9071984887123108
65,data/mvtec_ad/metal_nut/test/flip/018.png,flip,1,0.9067167043685913
107,data/mvtec_ad/metal_nut/test/scratch/015.png,scratch,1,0.9066784977912903
3,data/mvtec_ad/metal_nut/test/bent/003.png,bent,1,0.905189573764801
8,data/mvtec_ad/metal_nut/test/bent/008.png,bent,1,0.9024289846420288
54,data/mvtec_ad/metal_nut/test/flip/007.png,flip,1,0.8990731835365295
48,data/mvtec_ad/metal_nut/test/flip/001.png,flip,1,0.8987334370613098
10,data/mvtec_ad/metal_nut/test/bent/010.png,bent,1,0.8976844549179077
61,data/mvtec_ad/metal_nut/test/flip/014.png,flip,1,0.8973604440689087
11,data/mvtec_ad/metal_nut/test/bent/011.png,bent,1,0.8962510228157043
32,data/mvtec_ad/metal_nut/test/color/007.png,color,1,0.894917905330658
0,data/mvtec_ad/metal_nut/test/bent/000.png,bent,1,0.8944582343101501
52,data/mvtec_ad/metal_nut/test/flip/005.png,flip,1,0.8944434523582458
94,data/mvtec_ad/metal_nut/test/scratch/002.png,scratch,1,0.8940134644508362
4,data/mvtec_ad/metal_nut/test/bent/004.png,bent,1,0.8936416506767273
9,data/mvtec_ad/metal_nut/test/bent/009.png,bent,1,0.8930290937423706
27,data/mvtec_ad/metal_nut/test/color/002.png,color,1,0.8914521336555481
109,data/mvtec_ad/metal_nut/test/scratch/017.png,scratch,1,0.8910060524940491
38,data/mvtec_ad/metal_nut/test/color/013.png,color,1,0.8903812766075134
20,data/mvtec_ad/metal_nut/test/bent/020.png,bent,1,0.8894343376159668
60,data/mvtec_ad/metal_nut/test/flip/013.png,flip,1,0.8885109424591064
62,data/mvtec_ad/metal_nut/test/flip/015.png,flip,1,0.8880361914634705
69,data/mvtec_ad/metal_nut/test/flip/022.png,flip,1,0.8873481154441833
16,data/mvtec_ad/metal_nut/test/bent/016.png,bent,1,0.886412501335144
13,data/mvtec_ad/metal_nut/test/bent/013.png,bent,1,0.8856602311134338
14,data/mvtec_ad/metal_nut/test/bent/014.png,bent,1,0.8854659795761108
34,data/mvtec_ad/metal_nut/test/color/009.png,color,1,0.8851153254508972
47,data/mvtec_ad/metal_nut/test/flip/000.png,flip,1,0.8836857676506042
39,data/mvtec_ad/metal_nut/test/color/014.png,color,1,0.8826924562454224
46,data/mvtec_ad/metal_nut/test/color/021.png,color,1,0.8819504976272583
33,data/mvtec_ad/metal_nut/test/color/008.png,color,1,0.8816694617271423
37,data/mvtec_ad/metal_nut/test/color/012.png,color,1,0.8797636032104492
59,data/mvtec_ad/metal_nut/test/flip/012.png,flip,1,0.8796605467796326
49,data/mvtec_ad/metal_nut/test/flip/002.png,flip,1,0.8758446574211121
31,data/mvtec_ad/metal_nut/test/color/006.png,color,1,0.8757033944129944
103,data/mvtec_ad/metal_nut/test/scratch/011.png,scratch,1,0.8752384781837463
58,data/mvtec_ad/metal_nut/test/flip/011.png,flip,1,0.8750478625297546
17,data/mvtec_ad/metal_nut/test/bent/017.png,bent,1,0.8741009831428528
19,data/mvtec_ad/metal_nut/test/bent/019.png,bent,1,0.8733521699905396
12,data/mvtec_ad/metal_nut/test/bent/012.png,bent,1,0.8711896538734436
106,data/mvtec_ad/metal_nut/test/scratch/014.png,scratch,1,0.8705878257751465
108,data/mvtec_ad/metal_nut/test/scratch/016.png,scratch,1,0.8673211336135864
56,data/mvtec_ad/metal_nut/test/flip/009.png,flip,1,0.8665879964828491
1,data/mvtec_ad/metal_nut/test/bent/001.png,bent,1,0.866180956363678
64,data/mvtec_ad/metal_nut/test/flip/017.png,flip,1,0.8651626706123352
6,data/mvtec_ad/metal_nut/test/bent/006.png,bent,1,0.8648735284805298
7,data/mvtec_ad/metal_nut/test/bent/007.png,bent,1,0.8639761805534363
25,data/mvtec_ad/metal_nut/test/color/000.png,color,1,0.8631496429443359
23,data/mvtec_ad/metal_nut/test/bent/023.png,bent,1,0.8625509142875671
105,data/mvtec_ad/metal_nut/test/scratch/013.png,scratch,1,0.8616662621498108
35,data/mvtec_ad/metal_nut/test/color/010.png,color,1,0.8612223267555237
99,data/mvtec_ad/metal_nut/test/scratch/007.png,scratch,1,0.8602800965309143
96,data/mvtec_ad/metal_nut/test/scratch/004.png,scratch,1,0.8598774075508118
104,data/mvtec_ad/metal_nut/test/scratch/012.png,scratch,1,0.8598551154136658
18,data/mvtec_ad/metal_nut/test/bent/018.png,bent,1,0.8593938946723938
22,data/mvtec_ad/metal_nut/test/bent/022.png,bent,1,0.8584843277931213
101,data/mvtec_ad/metal_nut/test/scratch/009.png,scratch,1,0.8576479554176331
29,data/mvtec_ad/metal_nut/test/color/004.png,color,1,0.8572114706039429
44,data/mvtec_ad/metal_nut/test/color/019.png,color,1,0.8571590781211853
28,data/mvtec_ad/metal_nut/test/color/003.png,color,1,0.8564083576202393
26,data/mvtec_ad/metal_nut/test/color/001.png,color,1,0.8536186218261719
55,data/mvtec_ad/metal_nut/test/flip/008.png,flip,1,0.8487622737884521
21,data/mvtec_ad/metal_nut/test/bent/021.png,bent,1,0.8446700572967529
102,data/mvtec_ad/metal_nut/test/scratch/010.png,scratch,1,0.8391231298446655
97,data/mvtec_ad/metal_nut/test/scratch/005.png,scratch,1,0.8389565944671631
43,data/mvtec_ad/metal_nut/test/color/018.png,color,1,0.8372145295143127
15,data/mvtec_ad/metal_nut/test/bent/015.png,bent,1,0.8311782479286194
40,data/mvtec_ad/metal_nut/test/color/015.png,color,1,0.8227187991142273
93,data/mvtec_ad/metal_nut/test/scratch/001.png,scratch,1,0.8149561882019043
30,data/mvtec_ad/metal_nut/test/color/005.png,color,1,0.8127298951148987
41,data/mvtec_ad/metal_nut/test/color/016.png,color,1,0.805830717086792
42,data/mvtec_ad/metal_nut/test/color/017.png,color,1,0.7969745993614197
98,data/mvtec_ad/metal_nut/test/scratch/006.png,scratch,1,0.7887468934059143
111,data/mvtec_ad/metal_nut/test/scratch/019.png,scratch,1,0.7810348868370056
114,data/mvtec_ad/metal_nut/test/scratch/022.png,scratch,1,0.7735241651535034
92,data/mvtec_ad/metal_nut/test/scratch/000.png,scratch,1,0.7732086777687073
112,data/mvtec_ad/metal_nut/test/scratch/020.png,scratch,1,0.7641721367835999
95,data/mvtec_ad/metal_nut/test/scratch/003.png,scratch,1,0.7606383562088013
113,data/mvtec_ad/metal_nut/test/scratch/021.png,scratch,1,0.7499187588691711
82,data/mvtec_ad/metal_nut/test/good/012.png,good,0,0.7450408935546875
78,data/mvtec_ad/metal_nut/test/good/008.png,good,0,0.7256045341491699
